rejected_page_count	Count
08 s. =(s. 7/8 blank)=.	18
[04] , 52 s.	18
[04] , 68 s.	18
[02] , 94 s.	18
72 s. =(s. 71/72 blank)=.	18
[28] , 104 s. =(s. 86-104 opag.)=.	18
73,(1)s	18
119,(1)s	18
212s	18
199s	18
83,(1)s	18
238s	18
454 s.	17
221, [1] s.	17
278, [1] s.	17
262s	17
185, [1] s.	17
121s	17
114s	17
98, [2] s.	17
70, [2] s.	17
269, [1] s.	17
97, [1] s.	17
21, [1] s.	17
437 s.	17
[2], 26 s.	17
74, [2] s.	17
137s	17
69, [2] s.	17
[4], 32 s.	17
33, [1] s.	17
69, [1] s.	17
100, [1] s.	17
[8] s. & omsl.	17
482 s.	17
117, [2] s.	17
274, [1] s.	17
[24] s. (s. 23/24 blank)	17
237, [2] s.	17
279, [1] s.	17
58,(1)s	17
315, [1] s.	17
80 s. =(s. 79/80 blank)=.	17
28 s. & omsl.	17
[02] , 50 s.	17
64 s. =(s. 63/64 blank)=.	17
133s	17
57,(1)s	17
231s	17
296s	17
182s	17
10,(2)s	17
631 s.	16
492 s.	16
497 s.	16
560 s.	16
500 s.	16
532 s.	16
451 s.	16
507 s.	16
82, [1] s.	16
85,(1)s	16
433 s.	16
210s	16
104, [1] s.	16
109,(1)s	16
303s	16
1 bl. pat.	16
34, [1] s.	16
503 s.	16
91, [2] s.	16
162s	16
494 s.	16
141, [2] s.	16
194, [1] s.	16
259, [1] s.	16
228, [1] s.	16
158,(1)s	16
12 vol.	16
173, [2] s.	16
122, [1] s.	16
300s	16
22, [2] s.	16
75, [2] s.	16
98, [1] s.	16
263, [1] s.	16
280, [1] s.	16
314, [1] s.	16
139,(1)s	16
196, [1] s.	16
268, [1] s.	16
257, [1] s.	16
233, [1] s.	16
213, [1] s.	16
270, [1] s.	16
A4-E4.	16
A8-E8.	16
A8-D8.	16
16 s. =(s. 15-16 opag.)=.	16
64 s. =(s. 63/64 blank).=	16
[04] , 60 s.	16
[04] , 92 s.	16
260s	16
319s	16
65s	16
155,(1)s	16
89,(1)s	16
302s	16
246s	16
117,(1)s	16
476 s.	15
473 s.	15
550 s.	15
27, [1] s.	15
526 s.	15
76,(1)s	15
97s	15
244s	15
290, [1] s.	15
98,(1)s	15
300, [1] s.	15
524 s.	15
285s	15
101, [2] s.	15
318s	15
511 s.	15
462 s.	15
187, [1] s.	15
551 s.	15
92, [2] s.	15
506 s.	15
(32) s.	15
576 s.	15
306, [1] s.	15
285, [1] s.	15
518 s.	15
77, [3] s.	15
61, [3] s.	15
[104] s.	15
74, [1] s.	15
510 s.	15
133, [1] s.	15
185, [2] s.	15
158, [2] s.	15
232, [1] s.	15
18, [1] s.	15
[4], 28 s.	15
[4], 10 s.	15
181, [2] s.	15
36, [1] s.	15
[02] , 110 s.	15
[08] , 96 s.	15
[04] , 64 s.	15
20 s. =(s. 19/20 blank)=.	15
[02] , 52 s.	15
60 s. & omsl.	15
24 s. =(s. 23-24 opag.).=	15
56 s. =(s. 55/56 blank).=	15
08 s. =(s. 7/8 blank).=	15
[04] , 32 s.	15
[02] , 70 s.	15
[02] , 44 s.	15
[08] , 112 s.	15
331s	15
235s	15
333s	15
283s	15
197s	15
20,(1)s	15
292s	15
344s	15
316s	15
301s	15
151,(1)s	15
9,(1)s	15
91,(1)s	15
527 s.	14
542 s.	14
445 s.	14
490 s.	14
530 s.	14
93, [3] s.	14
261, [1] s.	14
225, [2] s.	14
327, [1] s.	14
491 s.	14
502 s.	14
65,(1)s	14
66,(1)s	14
203, [1] s.	14
57, [1] s.	14
307s	14
54, [2] s.	14
483 s.	14
509 s.	14
116, [1] s.	14
128, [1] s.	14
57, [2] s.	14
[32] s. (s. 31/32 blank)	14
249, [2] s.	14
326, [1] s.	14
(48)s	14
153, [2] s.	14
42, [1] s.	14
401 s.	14
17, [1] s.	14
241, [1] s.	14
73, [1] s.	14
89, [2] s.	14
59, [2] s.	14
536 s.	14
245, [1] s.	14
309, [1] s.	14
18, [2] s.	14
358, [1] s.	14
475 s.	14
[4], 256 s.	14
[108] s.	14
[4], 224 s.	14
A8-F8.	14
351, [1] s.	14
282, [1] s.	14
161, [1] s.	14
[46] s.	14
80, [2] s.	14
294, [1] s.	14
498 s.	14
229, [1] s.	14
169, [1] s.	14
[4], 18 s.	14
515 s.	14
[25] s.	14
(8) bl.	14
24 s.; [1] pl.	14
[04] , 36 s.	14
[02] , 60 s.	14
[04] , 108 s.	14
[02] , 64 s.	14
[04] , 76 s.	14
[02] , 72 s.	14
44 s. & omsl.	14
26,(2)s	14
86,(1)s	14
78,(2)s	14
277s	14
171s	14
142,(1)s	14
274s	14
317s	14
236s	14
282s	14
29,(3)s	14
33,(1)s	14
26, [2] s.	13
592 s.	13
549 s.	13
417 s.	13
(3)s	13
195s	13
310s	13
15 vol.	13
450 s.	13
520 s.	13
[4], 48 s.	13
[2], 34 s.	13
[4], 104 s.	13
302, [1] s.	13
133,(1)s	13
425 s.	13
12 bl.	13
234, [1] s.	13
367, [1] s.	13
85, [2] s.	13
64, [2] s.	13
224, [1] s.	13
53, [2] s.	13
276, [1] s.	13
248, [1] s.	13
332, [1] s.	13
22[2] s. (s. 23/24 blank)	13
467 s.	13
3 st.	13
129, [2] s.	13
189,(1)s	13
20 s. & omsl.	13
102, [2] s.	13
277, [1] s.	13
209, [1] s.	13
313, [1] s.	13
704 s.	13
273, [1] s.	13
293, [1] s.	13
11 vol.	13
229, [2] s.	13
[4], 24 s.	13
44, [1] s.	13
38, [2] s.	13
120, [1] s.	13
501 s.	13
24 bl.	13
16 bl.	13
[08] , 80 s.	13
[02] , 118 s.	13
[02], 94 s.	13
72 s.; [1] ins.	13
259s	13
328s	13
61,(2)s	13
191,(1)s	13
(15)s	13
293s	13
124,(1)s	13
68,(1)s	13
267s	13
453 s.	12
582 s.	12
573 s.	12
129, [1] s.	12
101,(1)s	12
519 s.	12
449 s.	12
559 s.	12
48 s. +	12
572 s.	12
114,(1)s	12
144, [1] s.	12
230, [2] s.	12
174,(1)s	12
122,(1)s	12
227, [1] s.	12
245s	12
137, (1) s.	12
174, [2] s.	12
[4], 192 s.	12
[4], 80 s.	12
223,(1)s	12
314s	12
624 s.	12
523 s.	12
188, [2] s.	12
190, [2] s.	12
240, [1] s.	12
265, [1] s.	12
[2], 102 s.	12
479, [1] s.	12
[38] s.	12
612 s.	12
10, [1] s.	12
65, [1] s.	12
124, [2] s.	12
81, [2] s.	12
495 s.	12
217, [2] s.	12
28, [1] s.	12
73, [2] s.	12
[04], 108 s.	12
299, [1] s.	12
193, [1] s.	12
205, [2] s.	12
283, [1] s.	12
325, [1] s.	12
160, [1] s.	12
562 s.	12
291, [1] s.	12
1 part.;([2] s.)	12
13, [1] s.	12
[19] s.	12
251, [1] s.	12
[27] s.	12
(16) bl. + )o(4.	12
A4-F4.	12
115,(1)s	12
[02] , 98 s.	12
08 s.; [1] pl.	12
[02] , 82 s.	12
[04] , 24 s.	12
[04] , 100 s.	12
[02] , 80 s.	12
16 s. & omsl.	12
48 s. & omsl.	12
[02] , 58 s.	12
32 s. & omsl.	12
408 s. =(s. 397-408 opag.).=	12
[08] , 200 s.	12
165s	12
(11)s	12
291s	12
156,(1)s	12
352s	12
3s	12
234s	12
173,(1)s	12
336s	12
211s	12
84,(1)s	12
169s	12
194s	12
209s	12
326s	12
278s	12
118,(1)s	12
129s	12
276s	12
269s	12
147,(1)s	12
607 s.	11
622 s.	11
720 s.	11
522 s.	11
29, [3] s.	11
52, [1] s.	11
652 s.	11
371s	11
22,(2)s	11
383, [1] s.	11
32 s. +	11
[4], 96 s.	11
238, [2] s.	11
589 s.	11
175,(1)s	11
340, [1] s.	11
31, (1) s.	11
15 [1] s.	11
[4], 124 s.	11
[4], 144 s.	11
465 s.	11
499 s.	11
516 s.	11
303, [1] s.	11
182, [2] s.	11
208, [1] s.	11
153s	11
253, [2] s.	11
[4], 88 s.	11
[2], 45 s.	11
130, [2] s.	11
[11] s.	11
[2], 28 s.	11
312, [1] s.	11
[2], 40 s.	11
[2], 155 s.	11
14[2] s. (s. 15/16 blank)	11
570 s.	11
600 s.	11
554 s.	11
123, [2] s.	11
[68] s.	11
[40] s. (s. 39/40 blank)	11
[76] s.	11
177, [2] s.	11
2 vol.;(192 s.)	11
398, [1] s.	11
608 s.	11
292, [1] s.	11
586 s.	11
342, [1] s.	11
535 s.	11
543 s.	11
[2, 1] s.	11
547 s.	11
(16) bl.	11
[21] s.	11
p. cm	11
31s.	11
A8-B8C4.	11
A8-E8F4.	11
15, (1) s.	11
[04] , 20 s.	11
[02] , 96 s.	11
[04] s.; [1] pl.	11
32 s. =(s. 31-32 opag.)=.	11
[08] , 104 s.	11
16 s. =(s. 15-16 opag.).=	11
12 s. & omsl.	11
52 s. & omsl.	11
[04] , 140 s.	11
[04] , 116 s.	11
[04] , ii408, iii344 s.	11
[04] , 72 s.	11
[02] , 966 s.	11
[08] s. =(s. 7/8 blank)=	11
[01] f.	11
217s	11
226s	11
327s	11
311s	11
161s	11
113s	11
334s	11
137,(1)s	11
213s	11
322s	11
(6)s	11
249s	11
141,(1)s	11
125,(1)s	11
207,(1)s	11
(64)s	11
99,(1)s	11
214,(1)s	11
309s	11
131,(1)s	11
105,(1)s	11
457 s.	10
557 s.	10
531 s.	10
533 s.	10
485 s.	10
664 s.	10
[4], 200 s.	10
334, [1] s.	10
233s	10
342s	10
376s	10
539 s.	10
477 s.	10
264, [1] s.	10
(10)s	10
67, [3] s.	10
250, [2] s.	10
[4], 188 s.	10
[2], 30 s.	10
56, [2] s.	10
508 s.	10
100, [2] s.	10
339, [1] s.	10
[4], 196 s.	10
286, [2] s.	10
42, [2] s.	10
548 s.	10
107, [2] s.	10
213, [2] s.	10
241, [2] s.	10
150, [2] s.	10
[4], 176 s.	10
104, [2] s.	10
5 bl.	10
16 s	10
85, [3] s.	10
58, [2] s.	10
