orig	mod	comp	total
västra Sverige	Västra Sverige		0
Samson & Wallin	Samson & Wallin	Samson & Wallin	249
Samsom & Wallin	Samson & Wallin		0
Samson & Vallin	Samson & Wallin		0
Askerberg	Askerberg	Askerberg	238
Askerbergs	Askerberg		0
Flodin	Flodin	Flodin	238
Flodins	Flodin		0
Hierta	Hierta	Hierta	234
Hiertas	Hierta		0
Medén	Meden	Meden	231
Méden	Meden		0
Medéns	Meden	Medens	0
Akademiska bokhandel	Akademiska bokhandel	Akademiska bokhandel	228
Akademiska bokhandeln	Akademiska bokhandel	Akademiska bokhandeln	0
Fritzes bokhandel	Fritzes bokhandel	Fritzes bokhandel	227
Fritzes bokhandel 	Fritzes bokhandel	Fritzes bokhandel	0
Norblads bokhandel	Norblads bokhandel	Norblads bokhandel	221
Norblads bokhandel i	Norblads bokhandel		0
Norrblads bokhandel	Norblads bokhandel		0
Appelberg	Appelberg	Appelberg	211
Appelbergs	Appelberg	Appelbergs	0
Palmquist	Palmqvist	Palmqvist	206
Palmquists	Palmqvist	Palmqvists	0
Palmqvist	Palmqvist		0
Palmqwist	Palmqvist	Palmqvist	0
Federativ	Federativ	Federativ	198
Fröléen	Fröleen	Fröleen	198
Fröl'een	Fröleen		0
Fröleen	Fröleen		0
Frölén	Fröleen		0
Exp	Exp	Exp	197
Radiotjänst	Radiotjänst	Radiotjänst	197
Evangeliipress	Evangeliipress	Evangeliipress	195
Eklund	Eklund	Eklund	192
Ekelund	Eklund		0
Ekelunds	Eklund		0
Eklundh	Eklund	Eklundh	0
Eklunds	Eklund	Eklunds	0
Ed. Sylvain	Ed. Sylvain	Ed. Sylvain	188
Nordisk rotogravyr	Nordisk rotogravyr	Nordisk rotogravyr	187
Idun	Idun	Idun	185
Idun-	Idun		0
Iduna	Idun	Iduna	0
Iduns	Idun	Iduns	0
Bille	Bille	Bille	184
Biller	Bille		0
Billes	Bille		0
Elander	Elander	Elander	184
Elanders	Elander	Elanders	0
Sörlin	Sörlin	Sörlin	184
Nordin & Josephson	Nordin & Josephson	Nordin & Josephson	183
Nordin & Josephson i	Nordin & Josephson		0
Nordin & Josephsson	Nordin & Josephson		0
Åhlén & söner	Åhlen & söner	Åhlen & söner	183
Åhlen & Söner	Åhlen & söner		0
Åhlén & Söner	Åhlen & söner	Åhlen & Söner	0
sällskap	sällskap	sällskap	180
Reuter & Reuter	Reuter & Reuter	Reuter & Reuter	176
Nationalmuseum	Nationalmuseum	Nationalmuseum	175
Beckman	Beckman	Beckman	174
Beckmans	Beckman	Beckmans	0
S. Flodin	S. Flodin	S. Flodin	174
H. Ohlsson	H. Ohlsson	H. Ohlsson	172
H. Ohlson	H. Ohlsson		0
H. Ohlssons	H. Ohlsson	H. Ohlssons	0
H. Olssons	H. Ohlsson		0
Nutiden	Nutiden	Nutiden	171
Svenska alliansmissionen	Svenska alliansmissionen	Svenska alliansmissionen	165
Svenska allians-miss	Svenska alliansmissionen		0
Svenska allians-missionen	Svenska alliansmissionen		0
Svenska alliansmiss	Svenska alliansmissionen	Svenska alliansmiss	0
Svenska alliansmissionens	Svenska alliansmissionen		0
C.E. Fritzes -	C.E. Fritzes -	C.E. Fritzes -	164
C.E. Fritze	C.E. Fritzes -	C.E. Fritze	0
C.E. Fritze-	C.E. Fritzes -	C.E. Fritze-	0
Gleerupska bokhandel	Gleerupska bokhandel	Gleerupska bokhandel	162
Gleeruspska bokhandel	Gleerupska bokhandel		0
Nordiska musik	Nordiska musik	Nordiska musik	161
Nordisk musik	Nordiska musik		0
Nordiska mus	Nordiska musik	Nordiska mus	0
Nordiska. musik	Nordiska musik		0
Berling	Berling	Berling	159
Berlings	Berling	Berlings	0
Ehlin	Ehlin	Ehlin	157
Ehlins	Ehlin	Ehlins	0
Seligmann	Seligmann	Seligmann	155
Seeligman	Seligmann	Seeligman	0
Seligman	Seligmann	Seligman	0
Seligmannn	Seligmann		0
Nya -	Nya -	Nya -	154
Nya -b	Nya -		0
Nya s-	Nya -	Nya s-	0
Nya s.-	Nya -		0
Univ	Univ	Univ	153
Wahlström	Wahlström	Wahlström	150
Wahlströms	Wahlström	Wahlströms	0
Missionsförbund	Missionsförbund	Missionsförbund	149
missionsförbund	Missionsförbund		0
Svenska allmoge	Svenska allmoge	Svenska allmoge	148
Schultz	Schultz	Schultz	147
Schultze	Schultz		0
Schulz	Schultz		0
Almqvist & Wiksell/Geber	Almqvist & Wiksell/Geber	Almqvist & Wiksell/Geber	146
Almqvist and Wiksell/Geber	Almqvist & Wiksell/Geber		0
Utrikespolitiska institutet	Utrikespolitiska institutet	Utrikespolitiska institutet	146
Munksgaard	Munksgård	Munksgård	145
Edlund	Edlund	Edlund	144
Edlunds	Edlund		0
Pehrsson	Pehrsson	Pehrsson	144
Pehrson	Pehrsson		0
Pehrssons	Pehrsson		0
Persson	Pehrsson		0
Thule	Thule	Thule	144
Ad. Johnson	Adolf Johnson	Adolf Johnson	141
C.E. Fritzes hofbokhandel	C.E. Fritzes hofbokhandel	C.E. Fritzes hofbokhandel	141
C.E. Fritzes bokhandel	C.E. Fritzes hofbokhandel	C.E. Fritzes bokhandel	0
C.E. Fritzes K. hofbokhandel	C.E. Fritzes hofbokhandel		0
Otava	Otava	Otava	141
Looström & Co	Looström & Co	Looström & Co	140
Looström & Coomp	Looström & Co	Looström & Coomp	0
Looström & Coomp:	Looström & Co		0
Looström & Coomp:s	Looström & Co		0
Looström, & Coomp:s	Looström & Co		0
Johnson	Johnson	Johnson	138
Johnson-	Johnson		0
Johnsson	Johnson	Johnsson	0
Wilhelmsson	Wilhelmsson	Wilhelmsson	138
Wilhelmson	Wilhelmsson	Wilhelmson	0
Wilhelmssons	Wilhelmsson	Wilhelmssons	0
Bohlin	Bohlin	Bohlin	137
Bolin	Bohlin		0
Pingvin	Pingvin	Pingvin	136
Svenska nykterhets	Svenska nykterhets	Svenska nykterhets	135
Svenska nykerhets	Svenska nykterhets		0
Svenska nykterhefs	Svenska nykterhets		0
Marcus	Marcus	Marcus	133
Marcu	Marcus	Marcu	0
Marcus'	Marcus		0
Esselte	Esselte	Esselte	132
Nationaltemplarorden	Nationaltemplarorden	Nationaltemplarorden	132
Evangeliska fosterlandsstiftelse	Evangeliska fosterlandsstiftelse	Evangeliska fosterlandsstiftelse	129
Ebvangeliska fosterlands stiftelse	Evangeliska fosterlandsstiftelse		0
Evangeliska fosterlands-stiftelse	Evangeliska fosterlandsstiftelse	Evangeliska fosterlands-stiftelse	0
Evangeliska fosterlandsstiftelse?	Evangeliska fosterlandsstiftelse		0
Evangeliska fosterlandsstitelsen	Evangeliska fosterlandsstiftelse		0
Evangelska fosterlandsstiftelse	Evangeliska fosterlandsstiftelse		0
Gummesson	Gummesson	Gummesson	129
Gummeson	Gummesson	Gummeson	0
Gummessons	Gummesson		0
I. Hæggström	I. Häggström	I. Häggström	129
Wretman	Wretman	Wretman	128
Wretmans	Wretman	Wretmans	0
Lagerström	Lagerström	Lagerström	127
Lagerströms	Lagerström	Lagerströms	0
Lagerstöm	Lagerström		0
K.	K.	K.	126
Allhem	Allhem	Allhem	125
Allhems	Allhem	Allhems	0
Lindfors	Lindfors	Lindfors	125
Lidfors	Lindfors		0
Lindfor	Lindfors	Lindfor	0
Schmidt	Schmidt	Schmidt	124
Schmidts	Schmidt	Schmidts	0
Schmidtz	Schmidt		0
Nya	Nya	Nya	123
Östgöta Correspondenten	Östgöta Correspondenten	Östgöta Correspondenten	123
Öst. correspondent	Östgöta Correspondenten		0
Östg.-correspondent	Östgöta Correspondenten		0
Östg. correspondent	Östgöta Correspondenten	Östg. correspondent	0
Östg. Correspondentens	Östgöta Correspondenten		0
Östgöta-correspondenten	Östgöta Correspondenten		0
Östgöta-Correspondenten	Östgöta Correspondenten	Östgöta-Correspondenten	0
Östgöta correspondent	Östgöta Correspondenten	Östgöta correspondent	0
Östgöta correspondenten	Östgöta Correspondenten	Östgöta correspondenten	0
Smålandsposten	Smålandsposten	Smålandsposten	120
Smålands-Posten	Smålandsposten		0
Smålands-postens	Smålandsposten		0
Smålandspostens	Smålandsposten	Smålandspostens	0
Smålandspostens bok	Smålandsposten		0
Ehrling & Löfvenholm	Ehrling & Lövenholm	Ehrling & Lövenholm	119
Eheling & Löfvenholm	Ehrling & Lövenholm		0
Ehrling & Löfwenholm	Ehrling & Lövenholm		0
Nordiska museet	Nordiska museet	Nordiska museet	119
Nordiska muséet	Nordiska museet	Nordiska museet	0
Frälsningsarméns högkvarter	Frälsningsarmens högqvarter	Frälsningsarmens högqvarter	118
Frälsnings-arméns högkvarter	Frälsningsarmens högqvarter		0
Birkagården	Birkagården	Birkagården	117
Birkagården,	Birkagården		0
Norden	Norden	Norden	117
Norden,	Norden		0
Norén	Norden		0
Svenska teknologförening	Svenska teknologförening	Svenska teknologförening	117
Svenska teknologför	Svenska teknologförening		0
