Corporate_name	Count
Svensk-Amerikanska sällskapets boksamling (Stockholm)	2
Svensk-amerikanska sällskapet (Stockholm)	2
Svenska folkdansens vänner	2
Stureby sportklubb (Stockholm)	2
Spökslottet (Stockholm)	2
Stockholms spårvägspersonals gymnastik- och idrottsförening	2
Skräddare-ämbetet (Stockholm)	2
Skolan för bokhantverk (Stockholm)	2
Stockholms scoutkårs 3. kolonn - Väpnarna	2
Stockholms schacksällskap	2
Ropstens båtklubb (Stockholm)	2
Riddarholmskyrkan	2
Personalklubben Post-typen (Stockholm)	2
Norstedt	2
Stockholms nya spårvägsaktiebolag	2
Nya Elementarskolan (Stockholm)	2
Nicolai idrottsklubb (Stockholm)	2
Naturhistoriska riksmuseum (Stockholm)	2
Nationaltemplarorden (Stockholm)	2
Nationalmuseum.	2
Matteus ungdomsförening (Stockholm)	2
Matteuspojkarna (Stockholm)	2
Manufakturhandlareföreningen (Stockholm)	2
Stockholms läkareförening	2
Stockholms lutherska söndagsskolförening	2
Livrustkammaren (Stockholm)	2
Stockholms landstormsförbund	2
Kungsholms barnkrubba (Stockholm)	2
Karlbergs bollklubb (Stockholm)	2
Stockholms kaféidkareförening	2
Idrottsföreningen Linnéa (Stockholm)	2
Stockholms stads hantverksförening	2
Handelskammare (Stockholm)	2
Handelshögskolan i Stockholm.	2
Föreningen Handarbetets vänner (Stockholm)	2
Garnisonssjukhuset (Stockholm)	2
F.V.O. Föreningen för välgörenhetens ordnande (Stockholm)	2
Föreningen för kanotidrott (Stockholm)	2
Föreningen för ett svensk industri-och handelsmuseum (Stockholm)	2
Fredrikshofs idrottsförening (Stockholm)	2
Folkvisedanslaget (Stockholm)	2
Stockholms ev.-luth. missionsförening	2
Sveriges socialdemokratiska arbetareparti (Enskede)	2
Enighet ger styrka (Stockholm)	2
Eintracht (Stockholm)	2
Stockholms arbetarekommun	2
Adolf Fredriks församling (Stockholm)	2
Konstmuseet Ateneum	2
Statsmedicinska anstalten	2
Svenska landsbygdens ungdomsförbund (Staffanstorp)	2
Sveriges Socialdemokratiska kvinnoförbund	2
Smålands husarregemente	2
Smålands sångarförbund	2
Carl Persson & söner a.-b.	2
Sjöförsäkringsaktiebolaget Ocean	2
Nässjö IF	2
Nyköpings segelsällskap	2
Nybro kommunbibliotek ((Småland)	2
IFK Norrköping	2
Norrbottens evangelisk-lutherska ungdomsförbund	2
Nordiska rådet	2
Modersmålslärarnas förening	2
Mercurius, Örlogs-fregatten	2
Medelpads provinsförbund av Riksförbundet landsbygdens folk	2
Tandläkarhögskolan (Malmö)	2
Kyrkofullmäktige (Malmö)	2
Caroli kyrkliga ungdomsförening (Malmö)	2
Allmänna svenska Läkarföreningen	2
Ystads nation (Lund)	2
Universitetet. Medicinska fakulteten (Lund)	2
Universitetet Befordringsfrågor (Lund)	2
Universitetet. Befordringsfrågor. Lärarebefattningen i röntgendiagnostik (Lund)	2
Fysiografiska sällskapet (Lund)	2
Skånska luftvärnskårens kamratförening	2
Skåneföreningen 1892 års män	2
Svenska landsbygdens ungdomsförbund (Skåne)	2
Skånska sångarförbundet (Skåne)	2
Skånska ingeniörsklubben (Skåne)	2
Skutskärs idrottsförening	2
Skuru idrottsklubb	2
Sveriges Skogsvårdsstyrelser	2
Skatelövs sockenbibliotek	2
Skarphagens handelsförening	2
Skandinaviska kreditaktiebolaget	2
Skandinaviska kreatursförsäkringsbolaget	2
Skandinaviska kreatursförsäkringsaktiebolaget	2
Svenska turistföreningen	2
Svenska Simförbundet	2
Sandvikens lånebibliotek	2
Föreningen Norden	2
Svenska Röda Korset.	2
Svenska röda korset	2
Råsunda idrottssällskap	2
Rydaholms folkbibliotek	2
Riksförbundet för sexuell upplysning	2
Jordbrukare-ungdomens förbund	2
S:t Lars kyrkliga scoutkår.	2
Lidköpings manskör.	2
Nationaltemplarorden. Lenhovda.	2
Sveriges Lantbruksförbund	2
Nationalmuseet. Köbenhavn.	2
Kvinnosällskapet för yttre mission.	2
Goodtemplarorden. Kristinehamn.	2
Utställning 1927.	2
Sällskapet (Stockholm)	2
IF Göta	2
Odd Fellow orden. Karlshamn.	2
Svenska Kanotförbundet	2
Stifts- och läroverksbiblioteket. Kalmar.	2
Jönköpings scoutkår.	2
International association of seed crushers	2
Hofors allmänna idrottsförening.	2
Helsingfors svenska missionsförbund.	2
Hushållningssällskap. Göteborgs och Bohus län.	2
Utställning 1929. Göteborg.	2
Göteborgs roddklubb.	2
