"","catalog","author","title","town","from","till","publisher"
"155","kungliga","Topelius, Zacharias","Gamla baron på Rautakylä","Helsingsissä",1897,1897,"Beijer"
"156","kungliga","Topelius, Zacharias","Vinterqvällar","Stockholm falun uppsala",1897,1897,"Norstedt"
"157","kungliga","Topelius, Zacharias","Välskärin kertomuksia","Princeton newyork",1897,1897,"Karisto"
"158","kungliga","Topelius, Zacharias","Ljungars saga","Kville",1897,1897,""
"159","fennica","Topelius, Zacharias","Ljungars saga","Helsinki",1896,1896,"sällskap för Finlands geografi"
"160","fennica","Topelius, Zacharias","Fairy Tales from Finland","Montpellier",1896,1896,"A. Cedervaller"
"161","fennica","Topelius, Zacharias","Ljungars saga","Helsinki",1896,1896,""
"162","fennica","Topelius, Zacharias","Vinterqvällar","Helsinki",1896,1896,""
"163","fennica","Topelius, Zacharias","Läsning för barn","Suomussalmi",1896,1896,"Finska Vetenskapssocieteten"
"164","fennica","Topelius, Zacharias","Läsning för barn","Helsinki",1896,1896,""
"165","fennica","Topelius, Zacharias","Lukukirja alimmaisille oppilaitoksille Suomessa","Hull",1896,1896,"Suomalaisen Kirjallisuuden Seura"
"166","fennica","Topelius, Zacharias","Välskärin kertomuksia","Stockholm",1896,1896,""
"167","kungliga","Topelius, Zacharias","Vinterqvällar","Stockholm falun uppsala",1896,1896,"Norstedt"
"168","kungliga","Topelius, Zacharias","Välskärin kertomuksia","Princeton newyork",1896,1896,"Karisto"
"169","kungliga","Topelius, Zacharias","Läsning för barn","Stockholm falun uppsala",1896,1896,"Norstedt"
"170","fennica","Topelius, Zacharias","Sögur Herlaeknisins","Pietarsaari",1905,1905,"Sortavalan evank. seura"
"171","fennica","Topelius, Zacharias","Evangelium för barnen","Helsinki",1905,1905,""
"172","fennica","Topelius, Zacharias","Sånger","Helsinki",1905,1905,""
"173","fennica","Topelius, Zacharias","Blad ur min tänkebok","Helsinki",1905,1905,""
"174","fennica","Topelius, Zacharias","Joulunviettoa kahleissa","Stockholm",1905,1905,""
"175","fennica","Topelius, Zacharias","Maamme kirja","Hull",1905,1905,""
"176","fennica","Topelius, Zacharias","Maamme kirja","Hull",1905,1905,"Duncker & Humblot"
"177","fennica","Topelius, Zacharias","Pieniä kirjoitelmia","Stockholm",1905,1905,""
"178","fennica","Topelius, Zacharias","Lukemisia lapsille","Stockholm",1905,1905,""
"179","kungliga","Topelius, Zacharias","Evangelium för barnen","Stockholm falun uppsala",1905,1905,"Norstedt"
"180","kungliga","Topelius, Zacharias","Dornröschen","Leobe",1905,1905,""
"181","kungliga","Topelius, Zacharias","Sögur herlæknisins","Stockholm",1905,1905,""
"182","fennica","Aho, Juhani","Enris och andra gamla och nya spånor från åren 1891 och 1899","Helsinki",1899,1899,""
"183","fennica","Aho, Juhani","Gutsbesitzer Hellmann und andere Novellen",NA,1899,1899,"Suomen Postisäästöpankinhallitus"
"184","fennica","Aho, Juhani","Bogen om Finland","Loimaa",1899,1899,"Suomen teollisuudenharjoittajat"
"185","fennica","Aho, Juhani","Ellis Jugend",NA,1899,1899,"Internat. Traktat- & missionsförening"
"186","fennica","Aho, Juhani","Panu","Leiden",1899,1899,"Philip Reclam"
"187","fennica","Aho, Juhani","Spånor","Helsinki",1899,1899,"Vihtori Kosonen"
