original_publisher	modified_publisher
Hj. Lundberg & Gösta Olzon	Hjalmar Lundberg & Gösta Olzon
Hj. Peterssons bokhandel	Hjalmar Peterssons bokhandel
Huskvarna hembygdsförening	Husqvarna hembygdsförening
Haase & søn	Håse & sön
Hällsén & Slätt	Hällsen & Slätt
Høst	Höst
Høst & Søn	Höst & Sön
I. Baarsen	I. Bårsen
Institut d'études slaves	Institut d'etudes slaves
Internationella kvinno för fred & frihet, Svenska sektionen	Internationella qvinno för fred & frihet, Svenska sektionen
Isaac Marcus' yckeri	Isåc Marcus' yckeri
J. Lundén	J. Lunden
J. Simelii arfvingaryckeri	J. Simelii arvingaryckeri
J.A. Almquist	J.A. Almqvist
J.H. Chronwall	J.H. Chronvall
J.L. Törnquists bokhandel	J.L. Törnqvists bokhandel
Joh. Hellsten	Johan Hellsten
Joh. Lundéns	Johan Lundens
Joh. Pehr Lundström	Johan Pehr Lundström
Joh. Sundström	Johan Sundström
K.H. Grahnquist	K.H. Grahnqvist
Kommittén för Svenska missionen i Kina	Kommitten för Svenska missionen i Kina
Kårkvarteret	Kårqvarteret
L. Mazác	L. Mazac
L. Thölén	L. Thölen
L.F. Hasselkvists bokhandel	L.F. Hasselqvists bokhandel
Lektor B. Rud. Hall	Lektor B. Rudolf Hall
Librairie de Médicis	Librairie de Medicis
Lindstedts antikvariska bokhandel	Lindstedts antiqvariska bokhandel
Little, Brown	Little, Brovn
Luth & Rosén	Luth & Rosen
Lutterworth Press	Luttervorth Press
M. Barkén	M. Barken
M. Th. Dahlström	M. Thorvald Dahlström
Magn. Bergwall	Magnus Bergvall
Mawman	Mavman
Medéns bokb	Medens bokb
Museum of Far Eastern Antiquities	Museum of Far Eastern Antiqvities
N. Fr. Hansen Publad Co	N. Frederic Hansen Publad Co
N. Fr. Hansen Publishing Co	N. Frederic Hansen Publishing Co
New Eastern Weekly Publad Co	Nev Eastern Weekly Publad Co
New York State Publishing	Nev York State Publishing
Palais des académies	Palais des academies
Pohjois-Pohjanmaan maakuntaliitto	Pohjois-Pohjanmån måkuntaliitto
Regementets historiekommitté	Regementets historiekommitte
Rén & Sjögren/Veckotidning Vi	Ren & Sjögren/Veckotidning Vi
Review & Herald s- & förening	Reviev & Herald s- & förening
Review & Herald sförening	Reviev & Herald sförening
Rich & Cowan	Rich & Covan
Riksantikvarieämbetet	Riksantiqvarieämbetet
Riksantikvarieämbetet & Statens historiska museer	Riksantiqvarieämbetet & Statens historiska museer
Ringnér & Enewalds bokhandel	Ringner & Enevalds bokhandel
Rosén	Rosen
Rosenkvist & Lundin	Rosenqvist & Lundin
Russworm	Russvorm
Sandwall	Sandvall
Sjöwalls bokhandel	Sjövalls bokhandel
Società evangelica nazionale svedese	Societa evangelica nazionale svedese
Statsbokföringskommittén	Statsbokföringskommitten
sTegnérg. 21	sTegnerg. 21
Swedenborg Society	Svedenborg Society
Swedish-American Biographical Society	Svedish-American Biographical Society
Swedish Baptist General Conference	Svedish Baptist General Conference
Swedish Mission	Svedish Mission
Svenska frälsningsarmén	Svenska frälsningsarmen
Svenska kvinnors missionsförening	Svenska qvinnors missionsförening
Svenska vanförevårdens centralkommitté	Svenska vanförevårdens centralkommitte
Syréns bokhandel	Syrens bokhandel
The Swedish Institute	The Svedish Institute
Th. Andersson	Thorvald Andersson
Th. Prytz	Thorvald Prytz
Th. Sjöbohms bokhandel	Thorvald Sjöbohms bokhandel
Th. Stalheim	Thorvald Stalheim
Thulins antikvariat	Thulins antiqvariat
Utgifvaren	Utgivaren
W. Lundequist	W. Lundeqvist
W. Lundequists bokhandel	W. Lundeqvists bokhandel
W. Löfving	W. Löving
Watchtower Bible and Tract Society	Watchtover Bible and Tract Society
Vict. Åström	Victoria Åström
Wiséns bokhandel	Wisens bokhandel
Våra idéer	Våra ideer
Z. Hæggströmsexpedition	Z. Häggströmsexpedition
Åhlén & Åkerlund, Albert Bonnier	Åhlen & Åkerlund, Albert Bonnier
Öfv	Öv
Öfvers:n	Övers:n
'kalt^dline †áumarsautigssînia†atigit	'kalt^dline †aumarsautigssînia†atigit
& Ewe	& Eve
: Hufvudstadsbladets nya	: Huvudstadsbladets nya
: Marquard	: Marqvard
: Simelii arfwingaryckeri	: Simelii arvingaryckeri
: Turumaan kirjapaino	: Turumån kirjapaino
1:a kommittén, Trollhättan	1:a kommitten, Trollhättan
3. Internationaal congres voor sociaal verweer	3. Internationål congres voor sociål verveer
á kostnað höfundar	a kostnað höfundar
A. Alms antikvariat	A. Alms antiqvariat
A. Billstényckeri	A. Billstenyckeri
A. Bæckström	A. Bäckström
A. d'Aubigné	A. d'Aubigne
A. Frænkel	A. Fränkel
A. Lebègue	A. Lebegue
A. Montén	A. Monten
A. Petré & Son	A. Petre & Son
A. Rundquist	A. Rundqvist
A. Schnée	A. Schnee
A. Sundén	A. Sunden
A. Th. Nilssons musikhandel	A. Thorvald Nilssons musikhandel
A. Wallén	A. Wallen
 A. Wardell	A. Wardell
A.B. Beskow	A.B. Beskov
A.B. Stockholms ris- & valskvarn	A.B. Stockholms ris- & valsqvarn
A.B.F:s teaterkommitté	A.B.F:s teaterkommitte
Acad. sc. Fennicæ	Acad. sc. Fennicä
Academy of the New Church	Academy of the Nev Church
Acta agriculturæ scand	Acta agriculturä scand
Acta pædiatrica	Acta pädiatrica
Adolf Emnér	Adolf Emner
Ad. Johnson & C:i	Adolf Johnson & C:i
Ad. Johnson?	Adolf Johnson?
Ad. Johnsson	Adolf Johnsson
Ahlén	Ahlen
Ahlén & Åkerlund	Ahlen & Åkerlund
Akademiska bok, Edv. Berling	Akademiska bok, Edvard Berling
Akademiska for de tekniske vidensker og Dansk ingeniørforening	Akademiska for de tekniske vidensker og Dansk ingeniörforening
Akademiska yckeriet, Edv. Berling	Akademiska yckeriet, Edvard Berling
Alb. Ando	Albert Ando
Alb. Hermansson	Albert Hermansson
Albert Lévy	Albert Levy
Alb. Olson	Albert Olson
Alb. Olsson	Albert Olsson
Alb. Sandström	Albert Sandström
Alb. Tengdahl	Albert Tengdahl
Alex. Lundström	Alexander Lundström
Alfr. Enocksson	Alfred Enocksson
Alfred Hallén	Alfred Hallen
Alfr. Johanssons bokhandel	Alfred Johanssons bokhandel
Alfred Lagergrén	Alfred Lagergren
Alfr. Lidholm	Alfred Lidholm
Alfr. Lundbergs	Alfred Lundbergs
Alf. Lundbergs bokhandel	Alfred Lundbergs bokhandel
Alfr. Lundbergs bokhandel	Alfred Lundbergs bokhandel
Alf. Samuelsson	Alfred Samuelsson
Alingsås . Adolf Emnér	Alingsås . Adolf Emner
Allen & Unwin Ltd	Allen & Unvin Ltd
Allen and Unwin	Allen and Unvin
Amanuens A. Billow	Amanuens A. Billov
American Swedish News Exchange	American Svedish Nevs Exchange
Amerikanska Bibelsällskap hos P. Palmquist	Amerikanska Bibelsällskap hos P. Palmqvist
Amerikanska Swedenborg trycknings- & förläggare-bol	Amerikanska Svedenborg trycknings- & förläggare-bol
And. Jeurling	Anders Jeurling
And. L. Lofstrom	Anders L. Lofstrom
And. Mattssons kafferosteri	Anders Mattssons kafferosteri
Andr. Fred. Høst & Søn	Andr. Fred. Höst & Sön
Andréen	Andreen
Andrén	Andren
Andréns läderfrik	Andrens läderfrik
Andrew J. Graham	Andrev J. Graham
Anna Björklund-Asperén. I pappersväska	Anna Björklund-Asperen. I pappersväska
Antikvariat- & Coonsthandeln	Antiqvariat- & Coonsthandeln
Antikvariat & Coonsthandeln	Antiqvariat & Coonsthandeln
Antikvariatbokhandel	Antiqvariatbokhandel
Antiquitets-archivi	Antiqvitets-archivi
Antwerpen	Antverpen
Apud Joh. Fred. Edman	Apud Johan Fred. Edman
Apud Mart. Christoph. Schwechtenium	Apud Mart. Christoph. Schvechtenium
Akvariet	Aqvariet
Arborén	Arboren
Arméledningen	Armeledningen
Arméns brevskola	Armens brevskola
Arméstens biblad	Armestens biblad
Ársæll Árnason	Ársäll Árnason
Arv. Hübenettes bokhandel	Arv. Hybenettes bokhandel
Arvid Leufvenmarksexpedition	Arvid Leuvenmarksexpedition
Arvid Nordquist	Arvid Nordqvist
Association of Swedish savings banks	Association of Svedish savings banks
Ateljé Fyrväpplingen	Atelje Fyrväpplingen
Atrium Hakon Lindquist	Atrium Hakon Lindqvist
Au dépens J.A. Probst	Au depens J.A. Probst
Aug. Bergman	August Bergman
Aug. E. Nielséns bokhandel	August E. Nielsens bokhandel
Aug. Eklöf,	August Eklöf,
Aug. Flink	August Flink
Aug. Jacobson	August Jacobson
Aug. Lindberg & Co	August Lindberg & Co
Aug. rahamsons stiftelse	August rahamsons stiftelse
Aug. Richardyckeri	August Richardyckeri
Aug. Rietz' bokhandel	August Rietz' bokhandel
Aug. Skarin	August Skarin
Aug. Wadenstein	August Wadenstein
Aug. Westerlund	August Westerlund
Aug. Westin	August Westin
Avéns	Avens
Ax. Hallin	Axel Hallin
Ax. Nilsson	Axel Nilsson
Ax. Reinarth	Axel Reinarth
Ax. Seiersen & Co	Axel Seiersen & Co
Axel Tollén	Axel Tollen
Ax. Wahlins bokhandel	Axel Wahlins bokhandel
Axel Wallén & Co	Axel Wallen & Co
B. Andrén	B. Andren
B. Ewert	B. Evert
B. Funkquist	B. Funkqvist
B. Kühlen Kunst- und Verlagsanstalt	B. Kyhlen Kunst- und Verlagsanstalt
B. Lundequist	B. Lundeqvist
B. Scherstén	B. Schersten
B.I.L. Sweden	B.I.L. Sveden
Bahá'i-samfund	Baha'i-samfund
Bailey & Swinfen	Bailey & Svinfen
Baillière, Tindall and Cox	Bailliere, Tindall and Cox
Bard, Marquardt & Co	Bard, Marqvardt & Co
Basil Blackwell	Basil Blacqvell
Benno Schwe	Benno Schve
Benno Schwe & Co Verlag	Benno Schve & Co Verlag
Bergquist & Berglund	Bergqvist & Berglund
Bernh. Cronholm	Bernhard Cronholm
Bernh. Pettersons bokhandel	Bernhard Pettersons bokhandel
Beskow, N	Beskov, N
Bibelkvinnohemmet	Bibelqvinnohemmet
Bibliothèque nationale	Bibliotheqve nationale
Bibliothèque Nationale	Bibliotheqve Nationale
Blackwell	Blacqvell
Blackwell Science	Blacqvell Science
Blackwood & Sons	Blacqvood & Sons
Bleck- & plåtslageriarbetsgifvare	Bleck- & plåtslageriarbetsgivare
Blomberg & Brokvist	Blomberg & Broqvist
Blomquists bokhandel	Blomqvists bokhandel
Boëtius Hagen	Boetius Hagen
 Bofors	Bofors
Bókaútgáfa Menningarsjóðs	Bókaútgafa Menningarsjóðs
Bollwerk-Verlag	Bollverk-Verlag
Bokverket för svenska bygdehem	Boqverket för svenska bygdehem
Borntræger	Bornträger
Borås Kliché & litografiska	Borås Kliche & litografiska
Borås wäfveri	Borås väveri
Bostadskommittén	Bostadskommitten
Bowlaren	Bovlaren
Brown University	Brovn University
Brunnsviks folkhögskolas kvartalsskrift	Brunnsviks folkhögskolas qvartalsskrift
Brusewitz Nordisk papperskalender	Brusevitz Nordisk papperskalender
Brückenverlag	Bryckenverlag
Brünnische bogtr	Brynnische bogtr
Bureau d'information de la légation de Lettonie à Londres	Bureau d'information de la legation de Lettonie a Londres
Bureau de la crémation	Bureau de la cremation
Butterworth	Buttervorth
Büchting	Bychting
Bülow	Bylov
C. Carlquist', Karlbergsvägen	C. Carlqvist', Karlbergsvägen
C. Deléen	C. Deleen
C. Lockwood	C. Locqvood
C. Müller	C. Myller
C.A. Franzén	C.A. Franzen
C.A. Löjdquist	C.A. Löjdqvist
C.E. Rosén	C.E. Rosen
C.G. Schmiterlöw	C.G. Schmiterlöv
C.J. Silfversten	C.J. Silversten
Calmann-Lévy	Calmann-Levy
Calmann Lévy	Calmann Levy
Canadian Seed Growers' Association	Canadian Seed Grovers' Association
Carl A. Franzén	Carl A. Franzen
Carl C. Gjörwell	Carl C. Gjörvell
 Carl Engström	Carl Engström
 Carl Gram	Carl Gram
Carl Schünemann	Carl Schynemann
Carl Thorsén	Carl Thorsen
Cederquist, varav 25 numrerade	Cederqvist, varav 25 numrerade
Cederwaller	Cedervaller
Centrala sjukvårdsberedn	Centrala sjuqvårdsberedn
Centrala sjukvårdsberedningen	Centrala sjuqvårdsberedningen
Centralkommittén för svenskt församlingsarbete i Finland	Centralkommitten för svenskt församlingsarbete i Finland
Centrals för socialt arbete barnavårdskommitté	Centrals för socialt arbete barnavårdskommitte
Chalmerska byggnadskommittén	Chalmerska byggnadskommitten
Charles E. Bergquist	Charles E. Bergqvist
Chr. Erichsen	Christian Erichsen
Chr. L. Tenow	Christian L. Tenov
Chr. Steen & Son	Christian Steen & Son
Chr. Törnquist	Christian Törnqvist
Chr.Erichsen	ChristianErichsen
Christopher Sower Co	Christopher Sover Co
Ciba Société Anonyme	Ciba Societe Anonyme
Claës Hultbergs konst	Claes Hultbergs konst
Claës Johan Ljungström	Claes Johan Ljungström
Collins New York Medical Institute	Collins Nev York Medical Institute
Conseil national de la culture tchèque à l'étranger	Conseil national de la culture tcheqve a l'etranger
Const. Olofsson	Constantin Olofsson
Cornell universitets Press for the New School for Social Research	Cornell universitets Press for the Nev School for Social Research
Courier for The Newcomen Society	Courier for The Nevcomen Society
Cranston & Stowe	Cranston & Stove
Croix-Rouge suédoise	Croix-Rouge suedoise
Cronquist, 1840	Cronqvist, 1840
Crowell	Crovell
Curling, lawn tennis & golf	Curling, lavn tennis & golf
d'Aubigné	d'Aubigne
Dalkullan Publad and Importing Co. 	Dalkullan Publad and Importing Co.
Dan. Lundgrens läderfrik	Daniel Lundgrens läderfrik
Dansk-Skaansk forening	Dansk-Skånsk forening
Das Schwedische Institut	Das Schvedische Institut
Dawson's guide bureau	Davson's guide bureau
de Haan	de Hån
De Haan	De Hån
De kommunistiska statstjänarnas samarbetskommitté	De kommunistiska statstjänarnas samarbetskommitte
De lungsjukas eftervårdskommitté	De lungsjukas eftervårdskommitte
de Waal	de Wål
Debécourt	Debecourt
Delachaux & Niestlé	Delachaux & Niestle
Delaware Tercentenary Commission	Delavare Tercentenary Commission
Den arnamagnæanske kommission	Den arnamagnäanske kommission
Den internat. kommittén för evangelisk mission i Ryssland	Den internat. kommitten för evangelisk mission i Ryssland
Det fördolda lifvet	Det fördolda livet
Det nordiske forfatterraad	Det nordiske forfatterråd
Deutsche Akademie der Künste	Deutsche Akademie der Kynste
Deutsche Buchwerkstätter	Deutsche Buchverkstätter
Deutsche Bücherei	Deutsche Bycherei
Deutsche Handelskammer in Schweden	Deutsche Handelskammer in Schveden
Deutsche Hausbücherei	Deutsche Hausbycherei
Diana, artes gráficas	Diana, artes graficas
Dr. Willmar Schwe	Dr. Willmar Schve
Druck der Akademischen Buckdruckerei, Edv. Berling	Druck der Akademischen Buckdruckerei, Edvard Berling
Drukkerij van het Missiehuis St. Griël	Drukkerij van het Missiehuis St. Griel
Duckworth	Ducqvorth
Duckworth & Co	Ducqvorth & Co
Dümmlers Vlg	Dymmlers Vlg
E, Edquist	E, Edqvist
E. Carlén	E. Carlen
E. Carrén	E. Carren
E. Hartwin & Co	E. Hartvin & Co
E. Letzén	E. Letzen
E. Rosén	E. Rosen
E. Wiséns bokhandel	E. Wisens bokhandel
E.A. Tegnér	E.A. Tegner
E.P. Nässén	E.P. Nässen
École d'interprètes de l'Université de Genève	École d'interpretes de l'Universite de Geneve
Ecole Nationale des Eaux et Foréts	Ecole Nationale des Eaux et Forets
Ed. B. Lundquist	Ed. B. Lundqvist
Ed. Bengt Lundquist	Ed. Bengt Lundqvist
Ed. Harlequin	Ed. Harleqvin
Edelweiss	Edelveiss
Editions areté	Editions arete
Éditions Balzac, anciennement Calmann-Lévy	Éditions Balzac, anciennement Calmann-Levy
Éditions ouvrières	Éditions ouvrieres
Edm. Janse & C:is bok	Edmund Janse & C:is bok
Edm. Jungbeck	Edmund Jungbeck
Edm. Jungbecks bokhandel	Edmund Jungbecks bokhandel
Edward Arnold	Edvard Arnold
Edw. Berggren	Edvard Berggren
Edw. Berling	Edvard Berling
Edv. Johnsson, Missionsbladets exp	Edvard Johnsson, Missionsbladets exp
Edv. Ljungströms arfvingar	Edvard Ljungströms arvingar
Edv. Svensson	Edvard Svensson
Edwin H. Morris	Edvin H. Morris
Eesti seltsi väljaanne	Eesti seltsi väljånne
Efr. Fraim	Efraim Fraim
Elias Edquist	Elias Edqvist
Elmén & granberg	Elmen & granberg
Elméns & Granbergs tryck	Elmens & Granbergs tryck
Elwert'sche Vlg-Buchhandlung	Elvert'sche Vlg-Buchhandlung
Em. Bruzelius	Emil Bruzelius
Em. Hammarlund	Emil Hammarlund
Em. Kullbergs bokhandel	Emil Kullbergs bokhandel
Engwall & Co	Engvall & Co
Enhetskommittén	Enhetskommitten
Er. Cleophas	Erik Cleophas
Erik Härrman Malmquist	Erik Härrman Malmqvist
 Ernst Nilsson	Ernst Nilsson
Eskilstuna muséer	Eskilstuna museer
Eskilstuna sagostundskommitté	Eskilstuna sagostundskommitte
Esselte bokhandel, Lundequistska	Esselte bokhandel, Lundeqvistska
Estonian learned society in Sweden	Estonian learned society in Sveden
Efvergrens eftr	Evergrens eftr
Ewerlöfs bokhandel	Everlöfs bokhandel
Ewert Wrangel	Evert Wrangel
Ewos	Evos
Ex officina Mölleri, aulæ typographi	Ex officina Mölleri, aulä typographi
Eynar Munksgaard	Eynar Munksgård
F. Swanström	F. Svanström
F. Tydén	F. Tyden
F.A. Ewerlöf	F.A. Everlöf
F.H.O. Müller	F.H.O. Myller
F.H.O. Müller modetidnings-	F.H.O. Myller modetidnings-
F.R. Corméry	F.R. Cormery
Familienverband der 'weissen' Rosen	Familienverband der 'veissen' Rosen
Fasquelle éditeurs	Fasqvelle editeurs
Fédération e d'éducation physique	Federation e d'education physiqve
Félagsútg	Felagsútg
Félagsútgáfan	Felagsútgafan
Félix Alcan	Felix Alcan
Félix Juven	Felix Juven
Ferd. Hey'ls	Ferdinand Hey'ls
Ferd. Lundquist & Co	Ferdinand Lundqvist & Co
Ferd. Svensson	Ferdinand Svensson
Festkommittén	Festkommitten
Finlandskommittéen	Finlandskommitteen
Finlandskommittén	Finlandskommitten
Flateyjarútgáfan	Flateyjarútgafan
Fleetwoodska släktförening	Fleetvoodska släktförening
Flo pastorats hembygdskommitté	Flo pastorats hembygdskommitte
Florén	Floren
Floréns enka	Florens enka
Folkpartiets kvinnogrupp	Folkpartiets qvinnogrupp
Folkskolesemin. för kvinnliga elever	Folkskolesemin. för qvinnliga elever
Folkskoleseminariet f. kvinnliga elever	Folkskoleseminariet f. qvinnliga elever
Folkwang-Vlg	Folqvang-Vlg
Fransén & Wennström	Fransen & Wennström
Frantis<U+030C>ek Novák	Frantis<U+030C>ek Novak
Fr.-Bremer-förbund	Frederic-Bremer-förbund
Fr. Apelquists bokhandel	Frederic Apelqvists bokhandel
Fr. Berggren, Nygat	Frederic Berggren, Nygat
Fr. Brorström & Co	Frederic Brorström & Co
Fr. Envalls bokhandel	Frederic Envalls bokhandel
Fr. Fleischer	Frederic Fleischer
Fr. G. Svan	Frederic G. Svan
Fr. Grub	Frederic Grub
Fr. Lindberg	Frederic Lindberg
Fr. Lundgren	Frederic Lundgren
Fr. Pettersson	Frederic Pettersson
Fr. Sjöberg	Frederic Sjöberg
Fr. Thavenius	Frederic Thavenius
Fr. Törnequist	Frederic Törneqvist
Fredrik Törnequist	Fredrik Törneqvist
Friedrich Ernst Hübsch	Friedrich Ernst Hybsch
Frisinnade kvinnor	Frisinnade qvinnor
Frith. Hellberg	Frithiof Hellberg
Fritzéns bokhandel	Fritzens bokhandel
Fru A. Schütz	Fru A. Schytz
Frälsn.-armén	Frälsn.-armen
Frälsningsarmén i Finland	Frälsningsarmen i Finland
Frälsningsarméns 1:sta kår	Frälsningsarmens 1:sta kår
Frälsningsarméns Högkvarter	Frälsningsarmens Högqvarter
Frälsningsarméns skandinaviska högkvarter	Frälsningsarmens skandinaviska högqvarter
Fröléen. Inb	Fröleen. Inb
 för kristet samhällsliv	för kristet samhällsliv
Förbudsvännernas rikskommitté	Förbudsvännernas rikskommitte
förening Armémusei Vänner	förening Armemusei Vänner
förening Bromma landstormskvinnor	förening Bromma landstormsqvinnor
förening frisinnade kvinnor	förening frisinnade qvinnor
förening för barnasjukvård i Malmö	förening för barnasjuqvård i Malmö
förening för dendrologi & parkvård	förening för dendrologi & parqvård
förening för kvinnans politiska rösträtt i Göteborg	förening för qvinnans politiska rösträtt i Göteborg
förening, Tegnérsgatan 13	förening, Tegnersgatan 13
författare & Joh. A. Forsell	författare & Johan A. Forsell
Försäkringsbolaget Zürich	Försäkringsbolaget Zyrich
G. & A. Meukow	G. & A. Meukov
G. Edwards	G. Edvards
G. Eék	G. Eek
G. Ewald	G. Evald
G. Kühn	G. Kyhn
G. Lindquist	G. Lindqvist
G. Nyquist	G. Nyqvist
G. Prawitz	G. Pravitz
G. Swenander	G. Svenander
G. van Saane 'Lectura Architectonica	G. van Såne 'Lectura Architectonica
G.A. Syréns bokhandel	G.A. Syrens bokhandel
G.F. Nordquist	G.F. Nordqvist
G.W. Wilén & Co	G.W. Wilen & Co
Galerie Denise René	Galerie Denise Rene
Gebrüder Paetel	Gebryder Paetel
General Headquarters, Supreme Commander for the Allied Powers, Civil Information and Education Section, Education Division	General Headqvarters, Supreme Commander for the Allied Povers, Civil Information and Education Section, Education Division
Gèneve	Geneve
Georg Améen	Georg Ameen
Georg Jensen Sølv	Georg Jensen Sölv
Georg Müller Verlag	Georg Myller Verlag
George Allen & Unwin	George Allen & Unvin
George Allen & Unwin Ltd	George Allen & Unvin Ltd
George Newnes Limited	George Nevnes Limited
Gerhard Kühtmann	Gerhard Kyhtmann
Gerhardt Kühtmann	Gerhardt Kyhtmann
Germanitas genealogiæ gothica	Germanitas genealogiä gothica
Gileadförsaml:s litteraturkommitté	Gileadförsaml:s litteraturkommitte
Gjörwell, C. C	Gjörvell, C. C
Gloria Dei Old Swedes' Church	Gloria Dei Old Svedes' Church
Glówny	Glóvny
Glysisvallurkommittén	Glysisvallurkommitten
Goodwins atelier	Goodvins atelier
Gottfr. Basse	Gottfried Basse
Gottfr. Dahl	Gottfried Dahl
Gottfr. Johanssons musik	Gottfried Johanssons musik
Gottfr. Westling	Gottfried Westling
 Gotthard Nilsson	Gotthard Nilsson
Gouvernement provisoire de la République française, Délélegation en Suède	Gouvernement provisoire de la Republiqve française, Delelegation en Suede
Grahnquist	Grahnqvist
Granlunds antikvariat	Granlunds antiqvariat
Groth & Rosenquist	Groth & Rosenqvist
Græbe	Gräbe
Grøndahl & Søn	Gröndahl & Sön
Gumælii annonsbyrå	Gumälii annonsbyrå
Gumælius & Co	Gumälius & Co
Gunnar Wallén	Gunnar Wallen
Gustaf A. Törnkvist	Gustaf A. Törnqvist
 Gustaf Sandwall	Gustaf Sandvall
Gustaf von Sydows annonsbyrå	Gustaf von Sydovs annonsbyrå
Gust. A. Johnson	Gustav A. Johnson
Gust. Carlson	Gustav Carlson
Gust. Ewerlöf	Gustav Everlöf
Gust. F. Bratt	Gustav F. Bratt
Gust. Karlsons Eftr	Gustav Karlsons Eftr
Gustav Kühn	Gustav Kyhn
Gust. Larssons bokhand:	Gustav Larssons bokhand:
Gust. Lundberg	Gustav Lundberg
Gust. Löthmans bokhandel	Gustav Löthmans bokhandel
Gust. Rylander	Gustav Rylander
Gust. Sjöbergs konditori	Gustav Sjöbergs konditori
Gust. Österbergs -	Gustav Österbergs -
Gutenwik	Gutenvik
Gyldendal for Jysk Arkæologisk Selsk	Gyldendal for Jysk Arkäologisk Selsk
Göteborgs Akvarium	Göteborgs Aqvarium
Göteborgs kvinnoklubb	Göteborgs qvinnoklubb
H. Buergel Goodwin	H. Buergel Goodvin
H. Hydén	H. Hyden
H. Haage	H. Håge
H. Lundén	H. Lunden
H. Olsén	H. Olsen
 H. Osterman	H. Osterman
H. Spaak	H. Spåk
H. von Düben	H. von Dyben
 Hagström & Westbergs bokhandel	Hagström & Westbergs bokhandel
Hallwag	Hallvag
Hallweg	Hallveg
Hallwylska samlingen	Hallvylska samlingen
Hammarén	Hammaren
Harlequin	Harleqvin
Hasselkvist & Co	Hasselqvist & Co
Hauptvereinigung der Deutschen Weinbauwirtschaft	Hauptvereinigung der Deutschen Weinbauvirtschaft
Hayward	Hayvard
Helge Olsén	Helge Olsen
Helsingfors stads yrkesvalskommitté	Helsingfors stads yrkesvalskommitte
Helwing	Helving
Henr. Carlson	Henrik Carlson
Henrik Hyltén-Cavallius	Henrik Hylten-Cavallius
Henr. Keyser	Henrik Keyser
Henr. Sandbergs bokhandel	Henrik Sandbergs bokhandel
Hid íslenzka bókmenntafélag	Hid íslenzka bókmenntafelag
Hið konunglega norræna fornfræðafjelag	Hið konunglega norräna fornfräðafjelag
Historical Society of Delaware	Historical Society of Delavare
Hj. Appeltoft	Hjalmar Appeltoft
Hj. Bergmark	Hjalmar Bergmark
Hj. Elgers bokhandel	Hjalmar Elgers bokhandel
Hjalmar Ewerlöf	Hjalmar Everlöf
Hj. G. Wallgren	Hjalmar G. Wallgren
Hj. Kinberg	Hjalmar Kinberg
Hj. Lundgren	Hjalmar Lundgren
Hj. Löfgren	Hjalmar Löfgren
Hj. Möllers bokhandel & Littorins bokhandel	Hjalmar Möllers bokhandel & Littorins bokhandel
Hj. Möllers universitets bokhandel	Hjalmar Möllers universitets bokhandel
Hj. Petersson & Cos bokhandel	Hjalmar Petersson & Cos bokhandel
Hj. Petterson & Co	Hjalmar Petterson & Co
Hj. Pettersson & Co	Hjalmar Pettersson & Co
Hj. Öhrvall	Hjalmar Öhrvall
Hjälpkommittén för Finlands invalider	Hjälpkommitten för Finlands invalider
Hjälpkommittén för Finlands politiska fångar	Hjälpkommitten för Finlands politiska fångar
Hjälpkommittén för tyska fascismens offer	Hjälpkommitten för tyska fascismens offer
Hjälpkommittén för Tysklands barn	Hjälpkommitten för Tysklands barn
Holmquists bok	Holmqvists bok
Holopainen, Paavo E	Holopainen, Påvo E
Hugo Brodén	Hugo Broden
Hugo Löjdquist	Hugo Löjdqvist
Huskvarna kyrkliga ungdomskrets	Husqvarna kyrkliga ungdomskrets
Huskvarna symaskinsfrik	Husqvarna symaskinsfrik
Hübenettes bokhandel	Hybenettes bokhandel
Hydén & Co	Hyden & Co
Hyltén-Cavalliusförening	Hylten-Cavalliusförening
Håk. Ohlsson	Håkan Ohlsson
Haaparannan kirjapaino	Håparannan kirjapaino
Hæggströmyckeri	Häggströmyckeri
Hällsén	Hällsen
Härnkvist	Härnqvist
Högbergs antikvariat & mynthandel	Högbergs antiqvariat & mynthandel
I hovedkommission hos Jacob Dybwad	I hovedkommission hos Jacob Dybvad
I hovudkommisjon hjaa Jacob Dybwad	I hovudkommisjon hjå Jacob Dybvad
I kommisjon hjå J. Dybwad	I kommisjon hjå J. Dybvad
I kommission hos J. Dybwad	I kommission hos J. Dybvad
I. Andrén	I. Andren
I. Hæggström i 100 numr. ex	I. Häggström i 100 numr. ex
I. Hæggströms bok- & -	I. Häggströms bok- & -
I. Hæggströmyckeri	I. Häggströmyckeri
I.N. Nyréns bok- & Coonst	I.N. Nyrens bok- & Coonst
Idéer & tankar	Ideer & tankar
Idrottsförening Linnéa	Idrottsförening Linnea
 Iggesunds bruk	Iggesunds bruk
Imp. de la Charité	Imp. de la Charite
Impensis N.G. Elwerti Bibliopolae Academici	Impensis N.G. Elverti Bibliopolae Academici
imprimebat Johannes Vogelius, Academiæ typogr	imprimebat Johannes Vogelius, Academiä typogr
Imprimerie de l'Institut Français d'Archéologie Orientale	Imprimerie de l'Institut Français d'Archeologie Orientale
Imprimerie de la Mission suèdoise	Imprimerie de la Mission suedoise
Imprimèrie de la Mission suédoise	Imprimerie de la Mission suedoise
Imprimerie de la Société de littérature finnoise	Imprimerie de la Societe de litterature finnoise
Imprimerie de la Société scientifique Ševcenko	Imprimerie de la Societe scientifiqve Ševcenko
