original_publisher	modified_publisher
Lantbruksförb:s tidsk-	Lantbruksförb:s tidskrift-
Lantbruksförb:s tidskrift	Lantbruksförb:s tidskrift-
Lantbruksförb:s tidskrift-a/b	Lantbruksförb:s tidskrift-
Läns-tidning	Länstidning
Länstidnings	Länstidning
K.L. Beckmans	K.L. Beckman
Ed. Lundén	Ed. Lunden
Svenska mission	Svenska missions
Svenska mission-	Svenska missions
Svenska mission- -	Svenska missions
Svenska mission- exp	Svenska missions
Svenska missionstr	Svenska missions
Svenska missons	Svenska missions
Bergwall	Bergvall
Bergvalls	Bergvall
Bervall	Bergvall
Berwall	Bergvall
Gen.-st:s lit. anst.	Gen.-st:s lit. anstalte
Gen.-st:s lit. anstalt	Gen.-st:s lit. anstalte
Gen.-st:s lit.anstalte	Gen.-st:s lit. anstalte
Lindstedtss bokhandel	Lindstedts bokhandel
Normann	Norman
Normans	Norman
Norrman	Norman
Nordstedt & Söner	Norstedt & Söner
Norstedt & söner	Norstedt & Söner
Norstedt & Söners	Norstedt & Söner
kvinnliga missions-arbetare	Kvinnliga missions arbetare
Kvinnliga missions-arbetare	Kvinnliga missions arbetare
Kvinnliga missions arb	Kvinnliga missions arbetare
kvinnliga missions arbetare	Kvinnliga missions arbetare
Kvinnliga missions arbetere	Kvinnliga missions arbetare
kvinnliga missionsarbetare	Kvinnliga missions arbetare
Kvinnliga missionsarbetare	Kvinnliga missions arbetare
Kvinnliga missionsarbete	Kvinnliga missions arbetare
Kvinnliga missons arbetare	Kvinnliga missions arbetare
Silén	Silen
Carlsons	Carlson
Carlsons-	Carlson
Carlsson	Carlson
Carlssons	Carlson
Svea-	Svea
Svenska turisförening	Svenska turistförening
Almqvist & Wiksells skolböcker	Almqvist & Wiksells skolböcker/Geber
Almqvist & Wiksells skolböcker / Geber	Almqvist & Wiksells skolböcker/Geber
Skriv- & ritbok	Skriv- & ritboks-
Skriv- & ritboks	Skriv- & ritboks-
Skriv- & Ritboks-:	Skriv- & ritboks-
Skriv- & ritboks-:s	Skriv- & ritboks-
Skriv- & ritboks.	Skriv- & ritboks-
Skriv- & ritboks.-	Skriv- & ritboks-
Skriv- ritbok	Skriv- & ritboks-
Skriv & ritbok	Skriv- & ritboks-
Tullbergs	Tullberg
Generalst:s litografiska anstalt	Generalstens litografiska anstalt
Generalst:s litografiska anstalte	Generalstens litografiska anstalt
Generalstens litografiska anst.	Generalstens litografiska anstalt
