publication_place	Count
bergsjö	10
Lybeck	10
upsaliæ wahlström låstbom	10
athènes	10
hofors	10
bergamo	10
visingsö	10
winnipeg man	10
torun	10
chapel hill	10
åbo kongl boktr i stor förstendömet finland jacob merckell	10
aboæ johannes christophorus frenckell	10
linkiöping	10
stregnesiæ	10
wästerås johan laur horrn på desz bekostnad år	10
tokyo	9
götheborg lars wahlström	9
älvsjö	9
ålem	9
arlöv gävle	9
gryphiæ	9
upsaliæ joh edman reg acad typogr	9
gamla karleby	9
poznan	9
Geneva	9
tours	9
alsbäck borlänge	9
hoos henrich keyser	9
götheborg öfwer direktören sam norberg	9
örebro nils magn lindh	9
kvidinge	9
heby	9
leyde	9
graz	9
Verona	9
cape town	9
skänninge	9
lit	9
tumba	9
Heilbronn	9
helsinfors	9
Kristiinankaupunki	9
riga	9
calmariæ	9
brussel	9
Krakow	9
Durham	9
trebechovice	9
Milwaukee WI	9
rönne	9
svalöv	9
Rauma	9
växiö	9
arbrå	9
lesjöfors	9
fränsta	9
lycksele	9
le caire	9
götabro hardemo	9
åkarp	9
dingle	8
åby	8
vingåker	8
sidensjö	8
dortmund	8
cairo	8
järvsö	8
Jelgava	8
Dessau	8
årjäng	8
athenai	8
oldenburg	8
lanciano	8
mexico	8
jönköping p lundström	8
nyköping p e winge	8
linköping daniel kämpe finnes hoos honom til kiöps	8
xxx	8
upsaliæ litteris viduæ johan edman	8
växl tr	8
augspurg	8
görlitz	8
jerusalem	8
tibro	8
olten	8
orléans	8
toronto	8
Narva	8
upsaliæ regiae academiae typographi	8
batavia	8
münster	8
essen	8
urbana ill	8
fiskars	8
Ulm	8
Schwerin	8
smedjebacken	8
jenæ	8
innsbruck	8
Madras India	8
holmiæ laurentii salvii	8
Florence	8
romæ	8
bucuresti	8
jyväskylässä	8
kbhvn	8
chra	8
wageningen	8
stregnäs	8
holmiæ sveonum	8
vbsala	8
broby	8
lméns granbergs tryckeri	8
kil	8
kairo	7
aneby	7
tyskland	7
gotoburgi	7
Macon	7
upsaliæ litteris joh fredr edman reg acad typogr	7
ume	7
skönvik	7
gemla	7
helsingør	7
olofström	7
Dordrecht	7
gyoma	7
westerås d torssell	7
new britain conn	7
åbo johan winter kongl booktr	7
hoos niclas wankijff kongl booktr	7
linköping groth petre	7
åbo i frenckellska boktryckeriet	7
göteborg göteborg göteborg göteborg	7
smålandsstenar	7
mönsterås	7
Savonlinna	7
upsaliæ litteris johann edman	7
cedar rapids iowa	7
uppsaliæ	7
mariannelund	7
tortuna	7
aachen	7
bratislava	7
dijon	7
denver colo	7
san francisco calif	7
hernoesandiæ	7
leuven	7
wittebergæ	7
Calcutta	7
kbhn	7
galesburg ill	7
gand	7
monaco	7
inhambane	7
poltava	7
falköping ranten	7
baarn	7
melbourne	7
wörishofen	7
winnipeg	7
tel aviv	7
canberra	7
norman	7
kungälv	7
