"","publication_place","country","count","longitude","latitude","identity"
"124","Pori","Finland",66,"21.75","61.4667","<http://vocab.getty.edu/tgn/7009893>"
"125","Porvoo","Finland",1154,"25.6667","60.4","<http://vocab.getty.edu/tgn/1031270>"
"126","Raahe","Finland",5,"24.5","64.7","<http://vocab.getty.edu/tgn/1031526>"
"127","Rantasalmi","Finland",1,"28.3333","62.1","<http://vocab.getty.edu/tgn/1031529>"
"128","Rauma","Finland",9,"21.5","61.15","<http://vocab.getty.edu/tgn/1031533>"
"129","Rovaniemi","Finland",1,"25.6667","66.4833","<http://vocab.getty.edu/tgn/7009958>"
"130","Salo","Finland",5,"23.1667","60.3833","<http://vocab.getty.edu/tgn/1031550>"
"131","Savonlinna","Finland",7,"28.8833","61.8667","<http://vocab.getty.edu/tgn/1031553>"
"133","Tammisaari","Finland",146,"23.5","60","<http://vocab.getty.edu/tgn/1031273>"
"134","Tampere","Finland",117,"23.75","61.5","<http://vocab.getty.edu/tgn/7009960>"
"137","Tornio","Finland",3,"24.1667","65.8667","<http://vocab.getty.edu/tgn/7009961>"
"138","Turku","Finland",2877,"22.25","60.45","<http://vocab.getty.edu/tgn/7009962>"
"139","Uusikaarlepyy","Finland",20,"22.5","63.3667","<http://vocab.getty.edu/tgn/7010084>"
"140","Uusikaupunki","Finland",11,"21.4167","60.8","<http://vocab.getty.edu/tgn/7009963>"
"141","Vaasa","Finland",527,"21.6","63.1","<http://vocab.getty.edu/tgn/7009964>"
"142","Vammala","Finland",48,"22.9167","61.3333","<http://vocab.getty.edu/tgn/1031604>"
"595","Albany NY","USA",4,"-73.75","42.65","<http://vocab.getty.edu/tgn/7013266>"
"596","Alexandria Va","USA",1,"-77.0333","38.8","<http://vocab.getty.edu/tgn/7013269>"
"597","Andover Ma","USA",1,"-71.1333","42.65","<http://vocab.getty.edu/tgn/7013301>"
"598","Ashtabula Oh","USA",1,"-80.7833","41.85","<http://vocab.getty.edu/tgn/2078271>"
"599","Astoria Or","USA",1,"-123.8167","46.1833","<http://vocab.getty.edu/tgn/7013328>"
"601","Augusta Me","USA",1,"-69.7667","44.3","<http://vocab.getty.edu/tgn/7013345>"
"602","Baltimore Md","USA",51,"-76.6","39.2833","<http://vocab.getty.edu/tgn/7013352>"
"603","Boston Ma","USA",150,"-71.05","42.35","<http://vocab.getty.edu/tgn/7013445>"
"604","Bridgeport Ct","USA",1,"-73.2","41.1667","<http://vocab.getty.edu/tgn/7013453>"
"605","Brookfield Ma","USA",4,"-72.1","42.2","<http://vocab.getty.edu/tgn/2049525>"
"607","Burlington NJ","USA",2,"-74.85","40.0667","<http://vocab.getty.edu/tgn/7013483>"
"608","Cambridge Ma","USA",30,"-71.1","42.3667","<http://vocab.getty.edu/tgn/7013527>"
"609","Charleston SC","USA",1,"-79.9167","32.7667","<http://vocab.getty.edu/tgn/7013582>"
"610","Chicago IL","USA",1054,"-87.65","41.85","<http://vocab.getty.edu/tgn/7013596>"
"611","Chillicothe Oh","USA",4,"-82.9667","39.3167","<http://vocab.getty.edu/tgn/7013600>"
"612","Cincinnati Oh","USA",12,"-84.45","39.15","<http://vocab.getty.edu/tgn/7013604>"
"613","Cleveland Oh","USA",15,"-81.6833","41.4833","<http://vocab.getty.edu/tgn/7013608>"
"614","Columbia SC","USA",1,"-81.0333","34","<http://vocab.getty.edu/tgn/7013641>"
"615","Cooperstown NY","USA",1,"-74.9167","42.7","<http://vocab.getty.edu/tgn/7013650>"
"616","Detroit Mi","USA",4,"-83.0333","42.3167","<http://vocab.getty.edu/tgn/7013547>"
"617","Duluth MN","USA",6,"-92.1","46.7833","<http://vocab.getty.edu/tgn/7013622>"
"618","Easton Pa","USA",1,"-79.5333","41.1167","<http://vocab.getty.edu/tgn/7015968>"
"619","Frankfort Ky","USA",2,"-84.8667","38.2","<http://vocab.getty.edu/tgn/7013939>"
"620","Grand Rapids Mi","USA",3,"-85.6667","42.95","<http://vocab.getty.edu/tgn/7014126>"
"621","Hanover NH","USA",1,"-72.2833","43.7","<http://vocab.getty.edu/tgn/7013690>"
"623","Hartford Ct","USA",2,"-72.6833","41.75","<http://vocab.getty.edu/tgn/7013695>"
"624","Ironwood Mi","USA",7,"-90.1667","46.45","<http://vocab.getty.edu/tgn/2052273>"
"625","Ishpeming Mi","USA",3,"-87.6667","46.4833","<http://vocab.getty.edu/tgn/2052281>"
"626","Jersey City NJ","USA",1,"-74.0667","40.7167","<http://vocab.getty.edu/tgn/7013813>"
"627","Lancaster Pa","USA",2,"-76.3","40.0333","<http://vocab.getty.edu/tgn/7013866>"
"628","Lebanon Pa","USA",1,"-76.4","40.3333","<http://vocab.getty.edu/tgn/2090033>"
"629","Lexington KY","USA",3,"-84.5","38.0333","<http://vocab.getty.edu/tgn/7013887>"
"630","Litchfield Ct","USA",10,"-73.1833","41.7333","<http://vocab.getty.edu/tgn/7013894>"
"631","Milwaukee Wi","USA",9,"-87.9","43.0333","<http://vocab.getty.edu/tgn/7014071>"
"632","Minneapolis Mn","USA",217,"-93.25","44.9667","<http://vocab.getty.edu/tgn/7014080>"
"633","Nashville TN","USA",2,"-86.761","36.154","<http://vocab.getty.edu/tgn/7013959>"
"634","New Brunswick NJ","USA",1,"-74.45","40.4833","<http://vocab.getty.edu/tgn/7014199>"
"635","New Haven Ct","USA",33,"-72.9167","41.3","<http://vocab.getty.edu/tgn/7014210>"
