original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
22 cm.	NA	NA	 22.0	FALSE	NA	 15.0	 22.0	NA	  330.00	     3
19x13 cm.	NA	 13.0	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	     3
20 cm (8:o)	8vo	NA	 20.0	FALSE	8vo	 13.0	 20.0	 0	  260.00	     3
18 cm (8:o)	8vo	NA	 18.0	FALSE	8vo	 12.0	 18.0	 0	  216.00	     3
13x10,5 cm	NA	 10.5	 13.0	FALSE	NA	 10.5	 13.0	NA	  136.50	     3
12:o.(avl.).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     3
16:o(4).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     3
18:o(12/6)	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	     3
8:o(avl.)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     3
8:o(4, tv.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     3
24:o(8/4).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     3
8:o(8 o. 4).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     3
24:o(6).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     3
24:o(12, avl.).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     3
24:o(8, avl.).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     3
2:o(tv.) [02] s.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     3
32:o(16).	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	     3
2:o(6).	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     3
17 cm (8:o)	8vo	NA	 17.0	FALSE	8vo	 12.0	 17.0	 0	  204.00	     3
23x16 cm	NA	 16.0	 23.0	FALSE	NA	 16.0	 23.0	NA	  368.00	     3
21x16 cm	NA	 16.0	 21.0	FALSE	NA	 16.0	 21.0	NA	  336.00	     3
21x15 cm	NA	 15.0	 21.0	FALSE	NA	 15.0	 21.0	NA	  315.00	     3
44 cm	NA	NA	 44.0	FALSE	NA	 29.0	 44.0	NA	 1276.00	     3
16x11 cm	NA	 11.0	 16.0	FALSE	NA	 11.0	 16.0	NA	  176.00	     3
20 cm.	NA	NA	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	     3
25 cm.	NA	NA	 25.0	FALSE	NA	 19.0	 25.0	NA	  475.00	     3
21 cm +	NA	NA	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	     3
31 cm.	NA	NA	 31.0	FALSE	NA	 21.0	 31.0	NA	  651.00	     3
30 cm.	NA	NA	 30.0	FALSE	NA	 20.0	 30.0	NA	  600.00	     3
28x22 cm	NA	 22.0	 28.0	FALSE	NA	 22.0	 28.0	NA	  616.00	     2
fo	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
18x11,5 cm	NA	 11.5	 18.0	FALSE	NA	 11.5	 18.0	NA	  207.00	     2
8vo.	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
4:o (1/2:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
4:o (bil.: 2:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
4:o (bil. 1/2:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
49 cm	NA	NA	 49.0	FALSE	NA	 31.0	 49.0	NA	 1519.00	     2
66 cm	NA	NA	 66.0	FALSE	NA	 40.0	 66.0	NA	 2640.00	     2
51 cm	NA	NA	 51.0	FALSE	NA	 32.0	 51.0	NA	 1632.00	     2
25x17 cm	NA	 17.0	 25.0	FALSE	NA	 17.0	 25.0	NA	  425.00	     2
2:o (4)	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     2
59 cm	NA	NA	 59.0	FALSE	NA	 36.0	 59.0	NA	 2124.00	     2
26 cm.	NA	NA	 26.0	FALSE	NA	 20.0	 26.0	NA	  520.00	     2
21x13 cm	NA	 13.0	 21.0	FALSE	NA	 13.0	 21.0	NA	  273.00	     2
16x12 cm	NA	 12.0	 16.0	FALSE	NA	 12.0	 16.0	NA	  192.00	     2
1/2:o(tv.)	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     2
34,5 cm	NA	NA	 34.5	FALSE	NA	 22.5	 34.5	NA	  776.25	     2
32:o	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	     2
28 cm.	NA	NA	 28.0	FALSE	NA	 20.0	 28.0	NA	  560.00	     2
65 cm	NA	NA	 65.0	FALSE	NA	 39.0	 65.0	NA	 2535.00	     2
8:o [8:o]	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
16x10 cm	NA	 10.0	 16.0	FALSE	NA	 10.0	 16.0	NA	  160.00	     2
25cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
32 cm.	NA	NA	 32.0	FALSE	NA	 21.0	 32.0	NA	  672.00	     2
25x18 cm	NA	 18.0	 25.0	FALSE	NA	 18.0	 25.0	NA	  450.00	     2
14x10 cm	NA	 10.0	 14.0	FALSE	NA	 10.0	 14.0	NA	  140.00	     2
55 cm	NA	NA	 55.0	FALSE	NA	 34.0	 55.0	NA	 1870.00	     2
27x20 cm	NA	 20.0	 27.0	FALSE	NA	 20.0	 27.0	NA	  540.00	     2
15 x 24 cm	NA	 15.0	 24.0	FALSE	NA	 15.0	 24.0	NA	  360.00	     2
Pat.-fol.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
27 cm.	NA	NA	 27.0	FALSE	NA	 20.0	 27.0	NA	  540.00	     2
2 vol.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     2
15x11 cm	NA	 11.0	 15.0	FALSE	NA	 11.0	 15.0	NA	  165.00	     2
16 cm (8:o)	8vo	NA	 16.0	FALSE	8vo	 11.0	 16.0	 0	  176.00	     2
12:0	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     2
8:o (4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
1/2:o(tv.).	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     2
16:o(8, tv.).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     2
8:o(4,tv.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
8:o(2)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
18:o (12/6).	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	     2
8:o (8 o.4).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
6:o(tv.).	6to	NA	NA	FALSE	6to	NA	NA	 0	NA	     2
8:o(4 avl.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     2
12:o(12 o.6).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     2
12:o(6, avl.).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     2
