original	polished	Count
St.-Pétersbourg	St Petersburg	  1
Stockholm, Tryckt hos Carl Stolpe, 1772.	Stockholm	  1
Stockholm. tryckt åhr 1672.	Stockholm	  1
London...	London	  1
Hadersleben	Haderslev	  1
Stockho1m	Stockholm	  1
Londini Scan.	London	  1
Holmiæ, typis Julii Georg Matthiae, reg. antiqu. archiv. typogr.	Stockholm	  1
Stockholm, Tryckt i Kongl. Tryckeriet, 1804.	Stockholm	  1
Ängleholm	Ängeholm	  1
[Königsberg]	Koningsberg	  1
Tryckt i Stockholm hoos Niclas Wankijff, Knogl [!]. Booktryckiare Åhr 1669.	Stockholm	  1
[Luleå]	Luleå	  1
Stockholm, tryckta hos Joh. Pehr Lindh, 1809.	Stockholm	  1
Stockholm, Tryckt aff Ignatio Meurer.	Stockholm	  1
Porvoo..	Porvoo	  1
Printed at Stockholm, in the Royal Printinghouse. 1808.	Stockholm	  1
Stockholm, tryckt i Kongl. Tryckeriet, 1813	Stockholm	  1
Strassburg	Strasbourg	  1
Stockholm, Chez Pierre Momma, imprimeur du Roi MDCCXXXIX	Stockholm	  1
Åbo, Tryckt af Johan Winter.	Turku	  1
Freiburg i.B.	Freiburg im Breisgau	  1
Stockholm, tryckt uti det kongl. tryckeriet	Stockholm	  1
Stockholm, tryckt hos Johan A. Carlbohm, 1791.	Stockholm	  1
Stockholm, Tryckt i Kongl. Tryckeriet, 1814.	Stockholm	  1
Stockholm, Tryckt i Kongl. Tryckeriet, 1785.	Stockholm	  1
Stockholm, tryckt af A. Biörkman, kongl. acad. boktr. i Åbo.	Stockholm	  1
Stockholm, tryckt hos Andreas J. Sylvenius, 1799. Kongl. privilegierad boktryckare.	Stockholm	  1
Troy, Idaho	Troy NY	  1
Gedruckt zu Stockholm, durch Andream Gutterwitz. Anno Christi M. D. XCIX.	Stockholm	  1
Linköping. Tryckt åhr 1675	Linköping	  1
Vpsaliæ, literis Wernerianis.	Uppsala	  1
Londini Gothorum. ex officina directoris Caroli Gustavi Berling. reg. acad. Carol. typograph.	London	  1
Tallin	Tallinn	  1
[Torne]	Torne	  1
[Genève]	Geneva	  1
[Göteb]	Gothenburg	  1
Wien-Heidelberg	Vienna	  1
Prentet i Kiøbenhaffn, aff Georg Lamprecht paa Joachim Moltkens egen Bekostning, oc findis hos hannem til kiøbs, Aar M DC LIII.	Copenhagen	  1
Quincy, Mass. :;Chicago, Ill.	Quincy Ma	  1
Upsaliæ, Litteris Joh. Fr. Edman Reg. Acad. Typogr.	Uppsala	  1
Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm :;Stockholm	Stockholm	  1
[S. Peterburg]	St Petersburg	  1
Stockholm ;;Köln	Stockholm	  1
Stockholm, de l'Imprimerie de A. G. Hellsten, 1833.	Stockholm	  1
Aboæ, impressit Joh. C. Frenckell, R. acad. typogr.	Turku	  1
Soröe	Sorø	  1
Borna-Lpz	Borna	  1
S.l. [Edinburgh]	Edinburgh	  1
Hafniæ	Copenhagen	  1
Monasterii Guestphalorum	Münster	  1
Buffalo, Minn.	Buffalo	  1
Dorpati	Tartu	  1
Tacoma, Wash.	Tacoma Wa	  1
Khvn & Kra	Copenhagen	  1
Upsaliæ. [s.n.].	Uppsala	  1
Stockholm, tryckt i kongl. tryckeriet.	Stockholm	  1
Münster i.W.	Münster	  1
Stockholm de li̓mprimerie Royale, 1833.	Stockholm	  1
Stockholm, tryckt hos And. Biörkman, kongl. acad. boktr. i Åbo.	Stockholm	  1
Worcester, Mass.	Worcester Ma	  1
[Johannishus]	Johannishus	  1
Götheborg, tryckte i Norbergska boktryckeriet,1847.	Gothenburg	  1
Avec privilége du roi. Stockholm, de l'imprimerie d'Olave Grahn, l'an 1813.	Stockholm	  1
Aboæ, typis Frenckelliorum.	Turku	  1
Slågarp	Stora Slågarp	  1
[Philadelphia]	Philadelphia Pa	  1
Galesburg, Ill	Galesburg IL	  1
Jönköping :;Jönköping :;Stockholm	Jönköping	  1
[Lipsiæ]	Leipzig	  1
Hfors.	Helsinki	  1
Frillesås	Frillesas	  1
Athen	Athens	  1
Vitembergæ, apvd Sam. Gottfr. Zimmermannvm. M D CCXXXVI.	Wittenberg	  1
Gryphiswaldiæ	Greifswald	  1
Liége	Liège	  1
Stockholm, 1775. Trykt [!] hos Henr. Fougt, R. af K. W. O. Kongl. Boktryckare.	Stockholm	  1
Tryckt i Rostock aff Stephan Mölemand. 1609.	Rostock	  1
Åbo, tryckt hos direct. och kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell.	Turku	  1
Tryckt i Stockholm hoos Niclas Wankijff, Kongl. Booktryckiare.	Stockholm	  1
Stockholm, tryckt hoos Henrich Keyser, Kongl. booktryckiare.	Stockholm	  1
Upsaliæ, cvm regio privilegio excudit Henricus Curio. S. R. M. & acad. Vpsaliensis bibliop. 1665.	Uppsala	  1
[Kbhvn]	Copenhagen	  1
Stockholm, tryckt hos Carl Fredr. Marquard, 1803.	Stockholm	  1
[Årjäng]	Årjäng	  1
Upsaliæ, typis Edmannianis	Uppsala	  1
Stockholm, Tryckt uti Kongl. Tryckeriet 1769.	Stockholm	  1
Stockholm tryckt uti historiographi regni tryckeri. An. M.DCC.XLIII.	Stockholm	  1
Stockholm, uti det Kongl. tryckeriet, hos Joh. Henr. Werner, directeur öfwer alla tryckerien i riket, åhr 1726.	Stockholm	  1
Upsaliæ excudebat Eschillus Matthiæ, acad. typog. anno M. DC. XXIV.	Uppsala	  1
Galesburg, Ill.	Galesburg IL	  1
Londres	London	  1
Leipzig & Berlin	Leipzig	  1
Helsinki :;Helsingissä	Helsinki	  1
