original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Eneroth, Hjalmar	1869-1964	Eneroth, Hjalmar (1869-1964)	1869	1964	   3
Ayres, Ruby M	1883-	Ayres, Ruby M (1883-NA)	1883	NA	   3
Atterström, August	1865-1930	Atterström, August (1865-1930)	1865	1930	   3
Jenvall, Algot	f. 1890.	Jenvall, Algot (1890-NA)	1890	NA	   3
Arvedson, Johan	1862-	Arvedson, Johan (1862-NA)	1862	NA	   3
Arton, Nils	1871-1943	Arton, Nils (1871-1943)	1871	1943	   3
Aristofanes	ca 445-ca 385 f. Kr.	Aristofanes, 	NA	NA	   3
Johnsén, Sven Ivar	1899-1988	Johnsén, Sven Ivar (1899-1988)	1899	1988	   3
Fahlund, Geo. A	1877-1956	Fahlund, Geo A (1877-1956)	1877	1956	   3
Annerstedt, Maria	1867-1937	Annerstedt, Maria (1867-1937)	1867	1937	   3
Almquist, Erik	1892-1974	Almquist, Erik (1892-1974)	1892	1974	   3
Malmros, Haqvin	1895-1995	Malmros, Haqvin (1895-1995)	1895	1995	   3
Andersson, Axel	1884-1956	Andersson, Axel (1884-1956)	1884	1956	   3
Lilljebjörn, Elisabeth	1862-	Lilljebjörn, Elisabeth (1862-NA)	1862	NA	   3
Alner, Hjalmar	1878-1952	Alner, Hjalmar (1878-1952)	1878	1952	   3
Allgén, Carl	f. 1886	Allgén, Carl (1886-NA)	1886	NA	   3
Algård, Nils	1883-1936	Algård, Nils (1883-1936)	1883	1936	   3
Alexanderson, Carl Olof	1896-1932	Alexanderson, Carl Olof (1896-1932)	1896	1932	   3
Hägglund, Henrik	1873-1945	Hägglund, Henrik (1873-1945)	1873	1945	   3
Akselsson, Lars	1890-1969	Akselsson, Lars (1890-1969)	1890	1969	   3
Ahnfelt, Oscar	1813-1882	Ahnfelt, Oscar (1813-1882)	1813	1882	   3
Forslund, Jan	1852-1949	Forslund, Jan (1852-1949)	1852	1949	   3
Beckman, Erik Richard	1866-	Beckman, Erik Richard (1866-NA)	1866	NA	   3
Anjou, Christofer Ludvig	1821-1896	Anjou, Christofer Ludvig (1821-1896)	1821	1896	   3
Hedin, Naboth	1884-	Hedin, Naboth (1884-NA)	1884	NA	   3
Aava, Erik U. Eriksson	1875-	Aava, Erik U Eriksson (1875-NA)	1875	NA	   3
Power, P. B	1822-1899	Power, P B (1822-1899)	1822	1899	   3
Nissen, R. Tønder	1822-1882	Nissen, R Tønder (1822-1882)	1822	1882	   3
Toffteen, Olof A	1863-1929	Toffteen, Olof A (1863-1929)	1863	1929	   3
Bernhard, Waldemar	1890-1965	Bernhard, Waldemar (1890-1965)	1890	1965	   3
Ullén, Marian	1934-	Ullén, Marian (1934-NA)	1934	NA	   3
Bonnier, Ann Catherine	1942-	Bonnier, Ann Catherine (1942-NA)	1942	NA	   3
Bergström, C. Abraham	1884-1950	Bergström, C Abraham (1884-1950)	1884	1950	   3
Nilsson, Leif H	1923-	Nilsson, Leif H (1923-NA)	1923	NA	   3
Aasma, Karin	1926-	Aasma, Karin (1926-NA)	1926	NA	   3
Graham, Billy	1918-	Graham, Billy (1918-NA)	1918	NA	   3
Zetterstrand, Ernst Adrian	1863-1911	Zetterstrand, Ernst Adrian (1863-1911)	1863	1911	   3
Holmqvist, Wilhelm	1905-1989	Holmqvist, Wilhelm (1905-1989)	1905	1989	   3
Bersell, Anders Olof	1853-1903	Bersell, Anders Olof (1853-1903)	1853	1903	   3
Liepe, Anita	1936-	Liepe, Anita (1936-NA)	1936	NA	   3
Rohnström, Alfred	1856-1934	Rohnström, Alfred (1856-1934)	1856	1934	   3
Welander, Per	1812-1898	Welander, Per (1812-1898)	1812	1898	   3
Rodell, Albert	1853-1897	Rodell, Albert (1853-1897)	1853	1897	   3
Erikson, August	1868-1916	Erikson, August (1868-1916)	1868	1916	   3
Abrahamson, Laurentius G	1856-1946	Abrahamson, Laurentius G (1856-1946)	1856	1946	   3
Liljegren, Nils M	1846-	Liljegren, Nils M (1846-NA)	1846	NA	   3
Hägerman, Augusta	1869-	Hägerman, Augusta (1869-NA)	1869	NA	   3
Person, Johan	1868-1921	Person, Johan (1868-1921)	1868	1921	   3
Gullander, Paul	1863-	Gullander, Paul (1863-NA)	1863	NA	   3
Tapper, Anders Gustaf	1871-1951	Tapper, Anders Gustaf (1871-1951)	1871	1951	   3
Witting, Victor	1825-1906	Witting, Victor (1825-1906)	1825	1906	   3
Lundeberg, Axel	1852-1940	Lundeberg, Axel (1852-1940)	1852	1940	   3
Stromberg, Helga	1886-1971	Stromberg, Helga (1886-1971)	1886	1971	   3
Ahlström, Louis John	1854-1945	Ahlström, Louis John (1854-1945)	1854	1945	   3
Högström, Erik	1820-1911	Högström, Erik (1820-1911)	1820	1911	   3
Hofstrand, C. O	1854-1924	Hofstrand, C O (1854-1924)	1854	1924	   3
Forsander, Nils	1846-1926	Forsander, Nils (1846-1926)	1846	1926	   3
Nelson, Andrew P	1844-	Nelson, Andrew P (1844-NA)	1844	NA	   3
Lund, Emil	1850-1942	Lund, Emil (1850-1942)	1850	1942	   3
Bonggren, Jakob	1854-1940	Bonggren, Jakob (1854-1940)	1854	1940	   3
Bergström, Svante	1916-1981	Bergström, Svante (1916-1981)	1916	1981	   3
Envall, Petrus	1889-1974	Envall, Petrus (1889-1974)	1889	1974	   3
Corin, Carl-Fredrik	1906-2001	Corin, Carl-fredrik (1906-2001)	1906	2001	   3
Dahlstedt, Karl-Hampus	1917-1996	Dahlstedt, Karl-hampus (1917-1996)	1917	1996	   3
Tjäder, Jan-Olof	1921-1998	Tjäder, Jan-olof (1921-1998)	1921	1998	   3
Setterwall, Kristian	1857-1930	Setterwall, Kristian (1857-1930)	1857	1930	   3
Tuneld, John	1904-1982	Tuneld, John (1904-1982)	1904	1982	   3
Taube, Gurli	1890-1980	Taube, Gurli (1890-1980)	1890	1980	   3
Hebbe, Per Magnus	1886-1942	Hebbe, Per Magnus (1886-1942)	1886	1942	   3
Zavala y Zamora, Gaspar	1762-1813?	Zavala Y Zamora, Gaspar (1762-1813)	1762	1813	   2
Lobstein, Jean Frédéric	1808-1855	Lobstein, Jean Frédéric (1808-1855)	1808	1855	   2
Wallander, Josef Wilhelm	1821-1888	Wallander, Josef Wilhelm (1821-1888)	1821	1888	   2
Skough, Olaus Jonæ	1604-1661	Skough, Olaus Jonæ (1604-1661)	1604	1661	   2
Petri, Johannes Holmius	verksam 1500?-1600-talet	Petri, Johannes Holmius (1500-1600)	1500	1600	   2
Ostrovskij, Nikolaj Alekseevič	1904-1936	Ostrovskij, Nikolaj Alekseevič (1904-1936)	1904	1936	   2
Röhl, Maria	1801-1875	Röhl, Maria (1801-1875)	1801	1875	   2
Stacke, Ludwig Christian	1817-1906	Stacke, Ludwig Christian (1817-1906)	1817	1906	   2
Persson, Gustaf	1885-	Persson, Gustaf (1885-NA)	1885	NA	   2
Maria Pavlovna	1890-1958	Pavlovna, Maria (1890-1958)	1890	1958	   2
Kneipp, Sebastian	1821-1897	Kneipp, Sebastian (1821-1897)	1821	1897	   2
Hallén, Harald	1884-1967	Hallén, Harald (1884-1967)	1884	1967	   2
Erlandson, Simon	1889-1974.	Erlandson, Simon (1889-1974)	1889	1974	   2
Folcker, Erik G	1858-1926	Folcker, Erik G (1858-1926)	1858	1926	   2
Balaguer, Víctor	1824-1901.	Balaguer, Víctor (1824-1901)	1824	1901	   2
Bergsten, Karl	1890-1978	Bergsten, Karl (1890-1978)	1890	1978	   2
Abelin, Hjalmar August	1817-1893	Abelin, Hjalmar August (1817-1893)	1817	1893	   2
Zebrozynthius, Jacob Johannis	1582-1642	Zebrozynthius, Jacob Johannis (1582-1642)	1582	1642	   2
Wildt, Johannes	1782-1836	Wildt, Johannes (1782-1836)	1782	1836	   2
Lundberg, Fredrik	1825-1882	Lundberg, Fredrik (1825-1882)	1825	1882	   2
Hallencreutz, Gösta	1881-1952	Hallencreutz, Gösta (1881-1952)	1881	1952	   2
Hemborg, Carl A	1847-1940	Hemborg, Carl A (1847-1940)	1847	1940	   2
Cronholm, Viking	1874-1961	Cronholm, Viking (1874-1961)	1874	1961	   2
Christiernsson, Henrik	1845-1914	Christiernsson, Henrik (1845-1914)	1845	1914	   2
Cederberg, Björn	f. 1860	Cederberg, Björn (1860-NA)	1860	NA	   2
Bruse, Pehr	verksam ca 1945	Bruse, Pehr (1945-NA)	1945	NA	   2
Percy, Gösta	1910-1998	Percy, Gösta (1910-1998)	1910	1998	   2
Zedlitz, Joseph Christian von	1790-1862	Zedlitz, Joseph Christian Von (1790-1862)	1790	1862	   2
Linder, Theodor	1818-1854	Linder, Theodor (1818-1854)	1818	1854	   2
Nordenström, Magnus N	1722-1790	Nordenström, Magnus N (1722-1790)	1722	1790	   2
Hill, Joe	1879-1915	Hill, Joe (1879-1915)	1879	1915	   2
Creiman, Anders	d. 1707	Creiman, Anders (1707-1707)	1707	NA	   2
Wejdling, Eva	verksam ca 1890	Wejdling, Eva (1890-NA)	1890	NA	   2
Wallmark, Ernst	1834-1910.	Wallmark, Ernst (1834-1910)	1834	1910	   2
Thelander, Curt	1869-1894	Thelander, Curt (1869-1894)	1869	1894	   2
Svedberg, Eduard	f. 1836	Svedberg, Eduard (1836-NA)	1836	NA	   2
Vikar, Anders	1886-	Vikar, Anders (1886-NA)	1886	NA	   2
Wikström, Filip	1920-1994	Wikström, Filip (1920-1994)	1920	1994	   2
Vilde, Eduard	1865-1933	Vilde, Eduard (1865-1933)	1865	1933	   2
Stenbäck, Lars	1811-1870	Stenbäck, Lars (1811-1870)	1811	1870	   2
Björk, Charlotte	1800-t.	Björk, Charlotte (1800-NA)	1800	NA	   2
Mörtsell, Johannes	1824-1888	Mörtsell, Johannes (1824-1888)	1824	1888	   2
Schunck, Anna Maria	1811-1874	Schunck, Anna Maria (1811-1874)	1811	1874	   2
Scherini, Pehr Hampus	f. 1817	Scherini, Pehr Hampus (1817-NA)	1817	NA	   2
Rydforss, Karl	verksam 1890-talet	Rydforss, Karl (1890-NA)	1890	NA	   2
Armfelt, Gustaf	1866-1952	Armfelt, Gustaf (1866-1952)	1866	1952	   2
Rosenqvist, Peter	f. 1818	Rosenqvist, Peter (1818-NA)	1818	NA	   2
Shackleton, Ernest Henry	1874-1922	Shackleton, Ernest Henry (1874-1922)	1874	1922	   2
Ross, John	1777-1856	Ross, John (1777-1856)	1777	1856	   2
Michelsen, Albert Christian	f. 1861	Michelsen, Albert Christian (1861-NA)	1861	NA	   2
Lundmark, Janne	1806-1855	Lundmark, Janne (1806-1855)	1806	1855	   2
Öhman, Hilma	1864-1952	öhman, Hilma (1864-1952)	1864	1952	   2
Myrberg, Otto Ferdinand	1824-1899.	Myrberg, Otto Ferdinand (1824-1899)	1824	1899	   2
Lithander, Johan Georg	1799-1880	Lithander, Johan Georg (1799-1880)	1799	1880	   2
Lindbäck, Olof	1785-1860	Lindbäck, Olof (1785-1860)	1785	1860	   2
Ternström, Johan	1803-1882	Ternström, J Ohan (1803-1882)	1803	1882	   2
Olin, Johan Axel	1825-1911	Olin, Johan Axel (1825-1911)	1825	1911	   2
Lund, Sigurd	1823-1906	Lund, Sigurd (1823-1906)	1823	1906	   2
Wannberg, Daniel Eduard	f. 1836	Wannberg, Daniel Eduard (1836-NA)	1836	NA	   2
Björling, Carl Olof	1804-1884	Björling, Carl Olof (1804-1884)	1804	1884	   2
Sylvan, Christian August	1811-1874	Sylvan, Christian August (1811-1874)	1811	1874	   2
Lagervall, Jacob Fredrik	1787-1865	Lagervall, Jacob Fredrik (1787-1865)	1787	1865	   2
Lagerlöf, Erland	1854-1913	Lagerlöf, Erland (1854-1913)	1854	1913	   2
Cavallin, Samuel Gustaf	1828-1883	Cavallin, Samuel Gustaf (1828-1883)	1828	1883	   2
Bergman, Evald	1843-1904.	Bergman, Evald (1843-1904)	1843	1904	   2
Wallin, Josef	1786-1863.	Wallin, Josef (1786-1863)	1786	1863	   2
Julin, Jon	1832-	Julin, Jon (1832-NA)	1832	NA	   2
Robiano, Luise von	1823-1886	Robiano, Luise Von (1823-1886)	1823	1886	   2
Hermann, Carl	1844-1881	Hermann, Carl (1844-1881)	1844	1881	   2
Herbst, Paula	1818-1883	Herbst, Paula (1818-1883)	1818	1883	   2
Jaensson, Carl Ulric	1813-1898	Jaensson, Carl Ulric (1813-1898)	1813	1898	   2
Johanson, Per Johan	1831-	Johanson, Per Johan (1831-NA)	1831	NA	   2
Belani, H. E. R	1784-1858	Belani, H E R (1784-1858)	1784	1858	   2
Wijkander, Oscar	1826-1899.	Wijkander, Oscar (1826-1899)	1826	1899	   2
Esquiros, Alphonse	1814-1876	Esquiros, Alphonse (1814-1876)	1814	1876	   2
Ölander, Axel Herman	f. 1844	ölander, Axel Herman (1844-NA)	1844	NA	   2
Stjernström, Louise	1827-1907	Stjernström, Louise (1827-1907)	1827	1907	   2
Hallberg, Hans Emil	1856-	Hallberg, Hans Emil (1856-NA)	1856	NA	   2
