author_name	author_birth	author_death	Count
Montin, Lars	NA	NA	 2
Molitor, H Erman H Enrik	NA	NA	 2
Munthe, Lars Peter	NA	NA	 2
Menabenus, Apollonius	1500	NA	 2
Loescher, Valentin Ernst	NA	NA	 2
Löfving, Joh An D Aniel	NA	NA	 2
Luth, Peter	NA	NA	 2
Lüders, Philip Ernst	NA	NA	 2
Loboda Silveira, Joaquim José Antonio	NA	NA	 2
Södermark, Andreas	NA	NA	 2
Lindroth, Pehr Gustaf	NA	NA	 2
Lindfors, Jonas	NA	NA	 2
Lindbom, Gustaf Aron	NA	NA	 2
Lemoine, Johan	NA	NA	 2
Leijonmarck, Gustaf Adolf	NA	NA	 2
Lehnberg, Pehr	NA	NA	 2
Laurin, Erik Petter	NA	NA	 2
Lauræus, Gabriel	NA	NA	 2
Lagerheim, Carl Erik	NA	NA	 2
König, John Gerhard	NA	NA	 2
Kölpin, Alexander Bernhard	NA	NA	 2
Kurz, Franz	NA	NA	 2
Kleffel, Johann Christoph	NA	NA	 2
Kilander, Anders	NA	NA	 2
Justander, J G	NA	NA	 2
James, John Thomas	NA	NA	 2
Imbert, Sulpice	NA	NA	 2
Holmbom, Henric	NA	NA	 2
Hess, Heinrich Ludwig Von	NA	NA	 2
Henneberg, Knud	NA	NA	 2
Hedin, Gustaf	NA	NA	 2
Hausmann, Johann Friedrich Ludwig	NA	NA	 2
Hausen, Carl Renatus	NA	NA	 2
Hastfer, Fredrik Vilhelm	NA	NA	 2
Hasselqwist, Andreas Benedicti	NA	NA	 2
Harst, De	NA	NA	 2
Hahn, Petter	NA	NA	 2
Göransson, Johan	NA	1769	 2
Gripenschiöld, Johan Gustaf	NA	NA	 2
Gmelin, Christian Gottlob	NA	NA	 2
Frosterus, Joh	NA	NA	 2
Friedrich Ii, Konung Av Preussen	NA	NA	 2
Fredrik Ii, Konung Af Würtemberg	NA	NA	 2
Forsberg, Carl Peter	NA	NA	 2
Fischerström, P J	NA	NA	 2
Faggot, Isak	NA	NA	 2
Estrup, Hector Frederik Janson	NA	NA	 2
Erwast, Isak	NA	NA	 2
Eliander, Claes	NA	NA	 2
Ehrhart, I G D	NA	NA	 2
Edman, Eric	NA	NA	 2
Jahn, Ferdinand Henrik	NA	NA	 2
Durdent, Jean René	NA	NA	 2
De La Gardie, Eva	NA	NA	 2
Cron-lieb, Ehrenhold	NA	NA	 2
Cleanthes	NA	NA	 2
Christiernin, Adolph Adolphsson	NA	NA	 2
Chapman, Frederick Henrik Af	NA	NA	 2
Carlsson, Johan Gustaf Von	NA	NA	 2
Candid	NA	NA	 2
Bülow, Adam Dietrich Heinrich Von	NA	NA	 2
Brenner, Carl De	NA	NA	 2
Bredsdorff, Jakob Hornemann	NA	NA	 2
Borremans, Antonius	NA	NA	 2
Bonde, Gustaf F	NA	1764	 2
Bonde, Gustaf -	NA	NA	 2
Bilang, Jacob Johan Von	NA	NA	 2
Bellerive, Jules-alexis-bernard	1770	NA	 2
Pfeiffer, Johann Georg	NA	NA	 2
Aspelin, Carl Fredric	NA	NA	 2
Almquist, Sven Johan	NA	NA	 2
Adlerheim, Pehr	NA	NA	 2
Argillander, Abraham	NA	NA	 2
Wanochius, Andreas Jacobi	1700	NA	 2
Wallander, Sigvardus Olai	1600	NA	 2
Walgesten, Thomas Rasmussen	1600	NA	 2
Vogel, Christian	1600	NA	 2
Ulvichius, Johannes Jonae	1600	NA	 2
Ulfsparre, Christer Ivarsson	1633	NA	 2
Ublenius, Petrus Nicolai	1600	NA	 2
Trottonius, Petrus	1600	NA	 2
Tribauer, Esaias	1500	NA	 2
Trautman, Wolfgang Christian	1600	NA	 2
Titelbach, Johannes	1600	NA	 2
Thorinus, Andreas Nicolai	1670	NA	 2
Terserus, Daniel Petri	1600	NA	 2
Swanwall, Andreas Magni	1600	NA	 2
Stephanus, Stephanus Johannis	NA	1650	 2
Simonius, Isaacus Roslagius	1600	NA	 2
Simmingh, Petrus	1683	NA	 2
Seybold, Johann Georg	1680	NA	 2
Scheiding, Hans Christoffer Von	1669	NA	 2
Salé, Romble	1600	NA	 2
Rösselius, Paulus	1600	NA	 2
Rålamb, Erik Brodersson	1635	NA	 2
Rothovius, Gudmundus Jacobi	1691	NA	 2
Reinhardt, Samuel	1600	NA	 2
Reicceus, Johannes	1600	NA	 2
Ramzius, Nicolaus Joannis	1671	NA	 2
Pourel De Hatrize, Bartholomeus	1600	NA	 2
Poirier, Hélie	1600	NA	 2
Petri, Laurentius	NA	1573	 2
Petri, Johannes	1500	NA	 2
Palaifatos	NA	NA	 2
Pacatus Drepanius, Latinus	NA	NA	 2
Olofsson, Hans	1600	NA	 2
Oljeqvist, Johan Johansson	1637	NA	 2
Olai, Haraldus	1622	NA	 2
Nicolai, Johannes	1600	NA	 2
Nicander, Matthias	1600	NA	 2
Neander, Elias	1600	NA	 2
Mylius, Christianus Andreæ	1600	NA	 2
Moltichius, Stephanus	1654	NA	 2
Mollet, André	1665	NA	 2
Michael	1500	NA	 2
Meyer, Joachim	1600	NA	 2
Menschewer, Adolphus Adolphi	1600	NA	 2
Melartopaeus, Johannes Christierni	1679	NA	 2
Meinfreund, Theophilus	NA	NA	 2
Meerbott, Heinrich	NA	1643	 2
Maius, Ditlevus	1670	NA	 2
Lykosander, Jacobus Johannis	1600	NA	 2
Luderhoff, Andreas Jonae	1695	NA	 2
Lilietinus, Johannes Danielis	1600	NA	 2
Lidenius, Petrus Svenonis	1600	NA	 2
Laurentii, Magnus	1600	NA	 2
Laurentii, Andreas	NA	1688	 2
Lagerfelt Fortelius, Israel Israelis	NA	1684	 2
Laelius, Laurentius Johannis	1603	NA	 2
Kylander, Haquinus Andreae	1669	NA	 2
Koskull, Andreas	1600	NA	 2
Kemner Chemnerus, Heinricus Martini	NA	NA	 2
