original	pagecount	volnumber	volcount	Count
103, [1] s.	 104	NA	NA	   3
123s	 123	NA	NA	   3
380 s.	 380	NA	NA	   3
58, [1] s.	  59	NA	NA	   3
285, [3] s.	 288	NA	NA	   3
7 vol.	NA	NA	 7	   3
396 s.	 396	NA	NA	   3
[16] s. =(s. 15/16 blank)=.	NA	NA	NA	   3
103s	 103	NA	NA	   3
237, [1] s.	 238	NA	NA	   3
[72] s.	  72	NA	NA	   3
[34] , 110 s. =(s. 93-110 opag.)=.	  34	NA	NA	   3
46,(1)s	  46	NA	NA	   3
354 s.	 354	NA	NA	   3
123, [1] s.	 124	NA	NA	   3
6 st.	NA	NA	NA	   3
[44] s.	  44	NA	NA	   3
95, [1] s.	  96	NA	NA	   3
62, [2] s.	  64	NA	NA	   3
571 s.	 571	NA	NA	   3
7, [1] s.	   8	NA	NA	   3
168s	 168	NA	NA	   3
[2], 10 s.	  12	NA	NA	   3
330 s.	 330	NA	NA	   3
127s	 127	NA	NA	   3
[04] s. =(s. 3/4 blank)=.	NA	NA	NA	   3
5 vol.	NA	NA	 5	   3
278 s.	 278	NA	NA	   3
253, [1] s.	 254	NA	NA	   3
46,(2)s	  46	NA	NA	   3
113, [1] s.	 114	NA	NA	   3
144s	 144	NA	NA	   3
54, [1] s.	  55	NA	NA	   3
76,(1)s	  76	NA	NA	   3
130, [1] s.	 131	NA	NA	   3
67s	  67	NA	NA	   3
260 s.	 260	NA	NA	   3
161, [1] s.	 162	NA	NA	   3
[4], 20 s.	  24	NA	NA	   3
349 s.	 349	NA	NA	   3
175, [1] s.	 176	NA	NA	   3
167s	 167	NA	NA	   3
10 st.	NA	NA	NA	   3
177, [1] s.	 178	NA	NA	   3
(7)s	   7	NA	NA	   3
291 s.	 291	NA	NA	   3
101, [3] s.	 104	NA	NA	   3
[16] s. =(s. 15/16 blank).=	NA	NA	NA	   3
87,(1)s	  87	NA	NA	   3
229 s.	 229	NA	NA	   3
293 s.	 293	NA	NA	   3
392 s.	 392	NA	NA	   3
254, [1] s.	 255	NA	NA	   3
166, [1] s.	 167	NA	NA	   3
342 s.	 342	NA	NA	   3
14, [2] s.	  16	NA	NA	   3
294 s.	 294	NA	NA	   3
25s	  25	NA	NA	   3
47, [1] s.	  48	NA	NA	   3
200s	 200	NA	NA	   3
375 s.	 375	NA	NA	   3
363 s.	 363	NA	NA	   3
322 s.	 322	NA	NA	   3
164, [1] s.	 165	NA	NA	   3
254s	 254	NA	NA	   3
364 s.	 364	NA	NA	   3
94, [1] s.	  95	NA	NA	   3
24 s. =(s. 23-24 opag.).=	NA	NA	NA	   3
93, [3] s.	  96	NA	NA	   3
77,(1)s	  77	NA	NA	   3
46s	  46	NA	NA	   3
370 s.	 370	NA	NA	   3
179s	 179	NA	NA	   3
406 s.	 406	NA	NA	   3
256s	 256	NA	NA	   3
40 s. =(s. 39/40 blank).=	NA	NA	NA	   3
[2], 12 s.	  14	NA	NA	   3
306, [2] s.	 308	NA	NA	   3
374 s.	 374	NA	NA	   3
357 s.	 357	NA	NA	   3
127,(1)s	 127	NA	NA	   3
45,(1)s	  45	NA	NA	   3
127, [1] s.	 128	NA	NA	   3
286s	 286	NA	NA	   3
(20)s	  20	NA	NA	   3
5,(1)s	   5	NA	NA	   3
422 s.	 422	NA	NA	   3
190s	 190	NA	NA	   3
411 s.	 411	NA	NA	   3
111,(1)s	 111	NA	NA	   3
55,(1)s	  55	NA	NA	   3
[4], 93 s.	  97	NA	NA	   3
264s	 264	NA	NA	   3
215, [1] s.	 216	NA	NA	   3
150s	 150	NA	NA	   3
222s	 222	NA	NA	   3
89,(1)s	  89	NA	NA	   3
335 s.	 335	NA	NA	   3
23[1] s.	NA	NA	NA	   3
17,(1)s	  17	NA	NA	   3
167, [1] s.	 168	NA	NA	   2
12 s. med kolor. fig.	NA	NA	NA	   2
149s	 149	NA	NA	   2
324 s. =(s. 323-24 opag.).=	NA	NA	NA	   2
38, [1] s.	  39	NA	NA	   2
76, [3] s.	  79	NA	NA	   2
398 s.	 398	NA	NA	   2
161s	 161	NA	NA	   2
21, [1] s.	  22	NA	NA	   2
388 s.	 388	NA	NA	   2
(16) s.	  16	NA	NA	   2
120 s. & omsl.	 120	NA	NA	   2
53,(3)s	  53	NA	NA	   2
61, [1] s.	  62	NA	NA	   2
440 s.	 440	NA	NA	   2
[02] , 316 s.	 318	NA	NA	   2
241, [1] s.	 242	NA	NA	   2
48 s. =(s. 47-48 opag.)=.	NA	NA	NA	   2
238, [1] s.	 239	NA	NA	   2
136, [1] s.	 137	NA	NA	   2
[08] , 232 s.	 240	NA	NA	   2
36 s. & omsl.	  36	NA	NA	   2
158s	 158	NA	NA	   2
626 s.	 626	NA	NA	   2
221,[1] s.	 222	NA	NA	   2
82s	  82	NA	NA	   2
379, [1] s.	 380	NA	NA	   2
279, [1] s.	 280	NA	NA	   2
(2) 3-48 s.	  48	NA	NA	   2
1 part.;(3 s.)	   3	NA	NA	   2
92s	  92	NA	NA	   2
203 s.	 203	NA	NA	   2
130s	 130	NA	NA	   2
[4], 272 s.	 276	NA	NA	   2
442 s.	 442	NA	NA	   2
32 s. =(s. 31-32 opag.)=.	NA	NA	NA	   2
43s.,2 pl.-bl.	  43	NA	NA	   2
315, [3] s.	 318	NA	NA	   2
305 s.	 305	NA	NA	   2
[2], 24 s.	  26	NA	NA	   2
A8	NA	NA	NA	   2
177 s.	 177	NA	NA	   2
158, [2] s.	 160	NA	NA	   2
100s	 100	NA	NA	   2
[7] s.	   7	NA	NA	   2
95,(1)s	  95	NA	NA	   2
531 s.	 531	NA	NA	   2
78, [1] s.	  79	NA	NA	   2
[50] s.	  50	NA	NA	   2
431 s.	 431	NA	NA	   2
58s	  58	NA	NA	   2
356s	 356	NA	NA	   2
108, [1] s.	 109	NA	NA	   2
644 s.	 644	NA	NA	   2
48 s. =(s. 47/48 blank).=	NA	NA	NA	   2
[02] , 32 s.	  34	NA	NA	   2
268 s.	 268	NA	NA	   2
34,(1)s	  34	NA	NA	   2
33, [1] s.	  34	NA	NA	   2
[4], 16 s.	  20	NA	NA	   2
59,(1)s	  59	NA	NA	   2
[5] s.	   5	NA	NA	   2
141s	 141	NA	NA	   2
479, [1] s.	 480	NA	NA	   2
230, [1] s.	 231	NA	NA	   2
[04] s.; [1] pl.	   6	NA	NA	   2
82, [2] s.	  84	NA	NA	   2
136s	 136	NA	NA	   2
118s	 118	NA	NA	   2
102s	 102	NA	NA	   2
273 s.	 273	NA	NA	   2
