original	pagecount	volnumber	volcount	Count
30 ; 36 s.	  66	NA	NA	   1
(2) s. A4.	NA	NA	NA	   1
1015 s.	1015	NA	NA	   1
xv, 90 s.	 105	NA	NA	   1
[7] s, s. 2-24, [2] s.	  32	NA	NA	   1
190 s., 1 portr.	 192	NA	NA	   1
251, [1] s.	 252	NA	NA	   1
(2),151,(2)s.,24 pl.-bl.	 151	NA	NA	   1
67,(1)s	  67	NA	NA	   1
118s.,6 pl.-bl.	 118	NA	NA	   1
170,(1)s	 170	NA	NA	   1
43,(5)s	  43	NA	NA	   1
244, [3] s.	 247	NA	NA	   1
iv, 651 s.	 655	NA	NA	   1
viii, 488 s., [6] pl.-bl.	 496	NA	NA	   1
230, (2) s.	 230	NA	NA	   1
217 s., 8 pl.-bl.	 217	NA	NA	   1
(8) s. A4-B4.	   8	NA	NA	   1
44,(1)s.,1 pl.-bl.	  44	NA	NA	   1
183, [3] s.	 186	NA	NA	   1
523 s.	 523	NA	NA	   1
2 bd (712 s.)	NA	NA	NA	   1
(16) 1-352 (14) s.	NA	NA	NA	   1
[6], 383, [1] s.	 390	NA	NA	   1
58 s.,1 kartbl.	  60	NA	NA	   1
(3),33,(2)s	  33	NA	NA	   1
[06] , 144 s.; [1] pl.	 152	NA	NA	   1
[7], 144 s.	 151	NA	NA	   1
223s	 223	NA	NA	   1
x, 479 s.	 489	NA	NA	   1
231s.	 231	NA	NA	   1
Cykel 1-5	   5	NA	NA	   1
ca 50 s.	  50	NA	NA	   1
[04] , 72 s. =(s. 57-72 opag.)=.	   4	NA	NA	   1
vii, 314 s.	 321	NA	NA	   1
[64] s. =(s. 63/64 blank)=.	NA	NA	NA	   1
[2], 10, [2] s.	  14	NA	NA	   1
36, [08] s. =(tab. 1-4)=; pl.titelbl. & omsl.	  38	NA	NA	   1
xxx, 495 s.	 525	NA	NA	   1
[06] , 148 s.	 154	NA	NA	   1
181 s., 32 pl.-s.	 181	NA	NA	   1
[04] , 128 s. =(s. 124-28 opag.)=.	   4	NA	NA	   1
22,(1)s.,4 pl.-bl.	  22	NA	NA	   1
[3], 44 s.	  47	NA	NA	   1
171, (1) s.	 171	NA	NA	   1
109,(2)s	 109	NA	NA	   1
43 s., xvi pl.-s.	  43	NA	NA	   1
348 s, [2] vikta bl.	 348	NA	NA	   1
xviii p., 1 l., 259 p.	 277	NA	NA	   1
31 s. , 96 pl.-s.	  31	NA	NA	   1
(2),8s.,6 pl.-bl.	   8	NA	NA	   1
369s	 369	NA	NA	   1
[4], 64, [3] s.	  71	NA	NA	   1
[16] , 96 s. =(s. 92-96 opag.)=.	  16	NA	NA	   1
H. 1-4 (12, 12, 12, 10, [2] s.)	  14	NA	NA	   1
25 vol.	NA	NA	25	   1
[06], 42 s.	  48	NA	NA	   1
61, [2] s.	  63	NA	NA	   1
32 s., xlviii pl.-s.	  32	NA	NA	   1
2 vol.;(207 s., 1 karta; 160 s., 1 karta)	 371	NA	NA	   1
392 s., 3 pl.-bl. (2 vikta)	 392	NA	NA	   1
22 s., 1 pl.-bl.	  22	NA	NA	   1
32s.,2 kartor	  36	NA	NA	   1
179,[1] s.	 180	NA	NA	   1
253, [1] s., 12 pl.-bl.	 254	NA	NA	   1
63s. + ann.	NA	NA	NA	   1
563s.,16 pl.-bl.	 563	NA	NA	   1
106 s. =(s. 104-06 opag.)=; [3] ins.	NA	NA	NA	   1
200 s., 16 pl.-bl.	 200	NA	NA	   1
77 s., [4] pl.-s.	  77	NA	NA	   1
s. 21-41	  21	NA	NA	   1
X, 173 s.	 183	NA	NA	   1
[6], 183 s.	 189	NA	NA	   1
[4], 170 s.	 174	NA	NA	   1
320s	 320	NA	NA	   1
61,(6)s	  61	NA	NA	   1
8 s., bl. 9-64	  64	NA	NA	   1
A8-F8.	NA	NA	NA	   1
479 s.	 479	NA	NA	   1
[2], 258, 128, [3] s.	 263	NA	NA	   1
[4], 102 s.	 106	NA	NA	   1
193, [2] s.	 195	NA	NA	   1
xj, 382 s.	 393	NA	NA	   1
s. 93-114	  22	NA	NA	   1
71s.,3 bilagor	  71	NA	NA	   1
69 s., 88 pl.-s.;(71p.,ill.,29cm)	 140	NA	NA	   1
181,(1)s	 181	NA	NA	   1
2 vol.;(548, 159 s.)	 548	NA	NA	   1
[10], ii84, iii80, iv32 s. =(s. iii79/80 blank)=	  10	NA	NA	   1
(2),11s.,1 pl.-bl.	  11	NA	NA	   1
279s.,1 pl.-bl.	 279	NA	NA	   1
8 dubbelbl.,7 enkelbl. i konvolut	NA	NA	NA	   1
162 s., [1] pl.-bl.	 162	NA	NA	   1
[4], 203, [3] s.	 210	NA	NA	   1
viij,151s.,xviij s. pl.	 159	NA	NA	   1
132, 69 s.	 132	NA	NA	   1
1008s	1008	NA	NA	   1
90 s	  90	NA	NA	   1
62 s. & omslag	  62	NA	NA	   1
[02], 324 s. =(s. 322-24 opag.)=; vii pl. =(pl. v-vii felnumr. 'viii'-'ix')=	   7	NA	NA	   1
46 s. +	  46	NA	NA	   1
351s	 351	NA	NA	   1
48s. + ann.	NA	NA	NA	   1
48 s. & omsl.	  48	NA	NA	   1
243,(1)s	 243	NA	NA	   1
[4], 125 s.	 129	NA	NA	   1
3 vol. (227 ; 246 ; 247 s.)	 720	NA	NA	   1
39s.,1 pl.-bl.	  39	NA	NA	   1
134s	 134	NA	NA	   1
28 s. =(s. 25-28 opag.)=.	NA	NA	NA	   1
viii,141s.,4 pl.-bl.	 149	NA	NA	   1
vi, 177 s.	 183	NA	NA	   1
[20] s. (s. 19/20 blank)	NA	NA	NA	   1
56 s. & omsl.	  56	NA	NA	   1
[4], 136 s.	 140	NA	NA	   1
[2], 34 s.	  36	NA	NA	   1
xxviii, 366 s.	 394	NA	NA	   1
311, [1] s.	 312	NA	NA	   1
(2) A4-D4 E2.	NA	NA	NA	   1
S.267-272	   6	NA	NA	   1
S.405-454	  50	NA	NA	   1
p. cm	   1	NA	NA	   1
40 s., 2 pl.	  44	NA	NA	   1
xi, 295 s.	 306	NA	NA	   1
(2) 3-68 (2) s.	NA	NA	NA	   1
xv och 603 s., 1 tab. och 2 kartor	NA	NA	NA	   1
[01] , xiii, 398 s. =(s. xi- xiii, 395-98 opag. rättelser)=; [1] ins., [1] pl.	 796	NA	NA	   1
132 s	 132	NA	NA	   1
52 s., 40 pl.-bl.	  52	NA	NA	   1
9, [3] s.	  12	NA	NA	   1
[116] s.	 116	NA	NA	   1
221-225 s.	   5	NA	NA	   1
318 s., [20] pl.-bl., 2 kartor	 322	NA	NA	   1
141 s., 1 bl.	 143	NA	NA	   1
1 part. (20 s.)	NA	NA	NA	   1
[08] , 44 s.	  52	NA	NA	   1
[4], 166, [1] s.	 171	NA	NA	   1
[34] , 110 s. =(s. 92-110 opag.)=.	  34	NA	NA	   1
88 s. =(s. 85-88 opag. annons)=.	NA	NA	NA	   1
86 s.; [1] pl.	  88	NA	NA	   1
Ca. 200 s.	 200	NA	NA	   1
68,(2)s	  68	NA	NA	   1
299,(5)s.,8 pl.	 315	NA	NA	   1
99 s., 18 pl.-bl.	  99	NA	NA	   1
76, [2] s.	  78	NA	NA	   1
[02], iv, 330 s.	 336	NA	NA	   1
XIV, 148 s.	 162	NA	NA	   1
109 s., 8 pl.-bl.	 109	NA	NA	   1
141 s.,8 pl.-bl.	 141	NA	NA	   1
81,(2)s	  81	NA	NA	   1
40 s. (s. 39/40 blank)	NA	NA	NA	   1
36 s., 1 karta	  38	NA	NA	   1
312 s. =(s. 309-10 opag., 311/12 blank)=.	NA	NA	NA	   1
24 s., 2 bil.	  24	NA	NA	   1
255 p.	 255	NA	NA	   1
[12] , 844 s.	 856	NA	NA	   1
112 s., 2 pl.-bl.	 112	NA	NA	   1
(8), 318 s.	 318	NA	NA	   1
26 s	  26	NA	NA	   1
[16] , 328 s.	 344	NA	NA	   1
[04] , ii52 s. =(s. 1/2 blank).=	   4	NA	NA	   1
420 s.	 420	NA	NA	   1
247 s., 6 pl.-bl.	 247	NA	NA	   1
xi, [1], 367, [1] s., 1 portr.	 382	NA	NA	   1
[1] , 8 s.	   9	NA	NA	   1
172,(2)s	 172	NA	NA	   1
132 s. =(s. 129-32 opag.)=.	NA	NA	NA	   1
2 vol.;(190, [1]; 191, [1] s.)	 383	NA	NA	   1
28 s., 1 pl.	  30	NA	NA	   1
295, [1] s.	 296	NA	NA	   1
[04], xvi, 200 s. =(s. xiv-xvi opag.)= & omsl.	  20	NA	NA	   1
[04], 280 s. =(s. 267-80 opag.)=	   4	NA	NA	   1
xxxii, 270 s.	 302	NA	NA	   1
[29, 164 s.	 193	NA	NA	   1
xvi, 372 s.	 388	NA	NA	   1
[4], 224 s.	 228	NA	NA	   1
382 s., 8 bl., 7 pl.-bl.	 398	NA	NA	   1
29 s., 1 pl.-bl.	  29	NA	NA	   1
viii, 681 s.	 689	NA	NA	   1
87,(2)s	  87	NA	NA	   1
249 s., [16] pl.-s.	 249	NA	NA	   1
[4], 120 s., 4 pl.	 132	NA	NA	   1
2 vol.;(386s)	 386	NA	NA	   1
32 s. =(s. 30-32 opag.).=	NA	NA	NA	   1
(1),68s	  68	NA	NA	   1
168 s., 1 pl.	 170	NA	NA	   1
A4 B6.	NA	NA	NA	   1
[02] , 412 s. =(s. 409-12 opag.)=.	   2	NA	NA	   1
278, (10) s.	 278	NA	NA	   1
26 s. =(s. 25-26 felpag. '35'-'36')=.	NA	NA	NA	   1
116 s. =(s. 115-16 opag.).=	NA	NA	NA	   1
[2], 161 [1] s.	   2	NA	NA	   1
599 s., [12] pl.-bl.	 599	NA	NA	   1
94,(24)s	  94	NA	NA	   1
2 vol.;(276 ; 152 s.)	 428	NA	NA	   1
[8], 309, [1] s.	 318	NA	NA	   1
2 h.	NA	NA	NA	   1
[2], 74, [1] s.	  77	NA	NA	   1
10 pl.	  20	NA	NA	   1
172 s.,1 pl.	 174	NA	NA	   1
157,(2)s.,bil. I-V	 162	NA	NA	   1
26,(1)s	  26	NA	NA	   1
xij, 527 s., 136 s. pl.	 539	NA	NA	   1
201, [1] s.	 202	NA	NA	   1
S. 5-24.	  20	NA	NA	   1
256, 65 s.	 256	NA	NA	   1
[24] , 472 s. =(s. 466 felpag. '452', s. 467-472 opag.)=; [1] pl.	 498	NA	NA	   1
(26) 1-418 (16) s.	NA	NA	NA	   1
xlxvi, [2], 143 s.	 201	NA	NA	   1
66 s., 2 pl.-bl.	  66	NA	NA	   1
96 s., grav. tit.	  96	NA	NA	   1
215, [8] s.	 223	NA	NA	   1
2 vol.;(456 ; 465 s.)	 921	NA	NA	   1
19s.,7 pl. med 8 täckbl.	  19	NA	NA	   1
166 s., 3 pl.-bl.	 166	NA	NA	   1
(1), 22 s.	  22	NA	NA	   1
(4), 275 s.	 275	NA	NA	   1
47, [1] s., 5 portr.-bl.	  48	NA	NA	   1
xx, 56 s.	  76	NA	NA	   1
253, x s.	 263	NA	NA	   1
[4], 154 s.	 158	NA	NA	   1
[2], 198 s. (s. 198 blank)	   2	NA	NA	   1
264, [1] s.	 265	NA	NA	   1
162 s., 36 portr., 1 vapenplansch	 162	NA	NA	   1
[02] , 08 s.	  10	NA	NA	   1
[08] , 352 s.; [1] ins.	 360	NA	NA	   1
s. 374-445	  72	NA	NA	   1
(2), 95 s.	  95	NA	NA	   1
110 p.	 110	NA	NA	   1
720 s.	 720	NA	NA	   1
[04] , 76 s.	  80	NA	NA	   1
v, 162 s.	 167	NA	NA	   1
911 s.	 911	NA	NA	   1
466, [1] s.	 467	NA	NA	   1
375s.,7 pl.-bl.	 375	NA	NA	   1
41,(1)s.,1 kartbl.	  43	NA	NA	   1
[02] , 68 s.	  70	NA	NA	   1
[2], 19 [1] s.	   2	NA	NA	   1
58 s. =(s. 46-58 opag.)=.	NA	NA	NA	   1
viii, 238 s.	 246	NA	NA	   1
[4], 26 [2] s.	   4	NA	NA	   1
39,(3)s.,2 pl.-bl.	  39	NA	NA	   1
40 s., 35 pl. s.	  40	NA	NA	   1
[2], 111 s.	 113	NA	NA	   1
16 s. =(s. 15/126 blank).=	NA	NA	NA	   1
387, [2] s.	 389	NA	NA	   1
[20] , 132 s.	 152	NA	NA	   1
(30)s	  30	NA	NA	   1
133, [1] s.	 134	NA	NA	   1
669 s., [40] pl.-s.	 669	NA	NA	   1
[2], v, 339 s.	 346	NA	NA	   1
vii, 236 s., 10 pl.-bl.	 243	NA	NA	   1
24s.,6 pl.-bl.	  24	NA	NA	   1
[4], 122, [1] s., 10 pl.	 147	NA	NA	   1
x, 144 s.	 154	NA	NA	   1
14[2] s. (s. 15/16 blank)	NA	NA	NA	   1
26 bd	NA	NA	NA	   1
268, [2] s.	 270	NA	NA	   1
viij,183s.,1 karta	 193	NA	NA	   1
47s.,11 pl.-s.	  47	NA	NA	   1
234 s., [8] pl.-s.	 234	NA	NA	   1
[1], 192 s., [4] pl.-bl.	 193	NA	NA	   1
(4), 114 s.	 114	NA	NA	   1
228, [1] s.	 229	NA	NA	   1
20, [4] s.	  24	NA	NA	   1
[2], 117 s.	 119	NA	NA	   1
3, [1] s.	   4	NA	NA	   1
160s.,15 tab.-bl. + 1 tab.-bl. i pärmficka	 160	NA	NA	   1
s. 56-278	 223	NA	NA	   1
lii, 24, [ii06] s., s. 25-420, [iii10] s. =(s. ii5 rättelser).=	 472	NA	NA	   1
68, [1] s.	  69	NA	NA	   1
178 s., 221 pl.-bl.	 178	NA	NA	   1
[04] , 452 s. =(s. 452 felpag. '451').=	   4	NA	NA	   1
44 s., 4 pl.	  52	NA	NA	   1
[6], vi, 574 s., vii pl.	 600	NA	NA	   1
[04], viii, 56, xvi s.; [2] rättelsebl., [5] ins.	  76	NA	NA	   1
vj och 600 s.	NA	NA	NA	   1
S. [84]-95	  12	NA	NA	   1
10, [1] s.	  11	NA	NA	   1
47 s., 2 pl.-bl.	  47	NA	NA	   1
40 s.; [4] ins.	  40	NA	NA	   1
245s	 245	NA	NA	   1
xxiij, 110 s.	 133	NA	NA	   1
74s	  74	NA	NA	   1
[16], 178 s.	 194	NA	NA	   1
218, [3] s.	 221	NA	NA	   1
44 s. (s. 37-44 opag.).	NA	NA	NA	   1
18, [44]s., [44 pl.-bl.]	  62	NA	NA	   1
viii, 171 s.	 179	NA	NA	   1
vii, 156 s., 1 tab.	 165	NA	NA	   1
[04] , ii64, iii46, iv06 s.; [1] rättelsebl.	   4	NA	NA	   1
337, [1] s.,17 pl.-bl.,1 kartbl.	 340	NA	NA	   1
258, (1)s., 5 pl.-bl.	 258	NA	NA	   1
3 vol. (12, 22, 34)	  34	NA	NA	   1
36, [3] s.	  39	NA	NA	   1
xvi, 459 s., [54] pl.-bl.	 475	NA	NA	   1
144 s. =(s. 143/44 blank)=.	NA	NA	NA	   1
294, [2] s.	 296	NA	NA	   1
[14], 180 s.	 194	NA	NA	   1
214,(1)s.,4 pl.-bl.	 214	NA	NA	   1
[02] , 86 s. =(s. 85-86 opag.).=	   2	NA	NA	   1
103s.,4 pl.-bl.	 103	NA	NA	   1
94 s., 3 anträd	  94	NA	NA	   1
150 s., 31 pl.-s.	 150	NA	NA	   1
181 s., 2 pl.-bl.	 181	NA	NA	   1
365 s.	 365	NA	NA	   1
(2) 1-226 (32?) s.	NA	NA	NA	   1
[04] , 68 s.	  72	NA	NA	   1
[08] , 528 s.	 536	NA	NA	   1
212 s. =(s. 208- 12 opag.)=.	NA	NA	NA	   1
136 s.,8 pl.	 152	NA	NA	   1
[04], 288 s.	 292	NA	NA	   1
[8], 59[7] s.	   8	NA	NA	   1
4 vol. i 1	NA	NA	NA	   1
[4], 148 s.	 152	NA	NA	   1
xv, 571 s.	 586	NA	NA	   1
688 s.	 688	NA	NA	   1
197s	 197	NA	NA	   1
xv, 283 s.	 298	NA	NA	   1
175s	 175	NA	NA	   1
573 s.	 573	NA	NA	   1
180, [3] s., xliv pl.	 271	NA	NA	   1
s. 80-82	   3	NA	NA	   1
(4),182 s.	 182	NA	NA	   1
173 s., 1 pl.	 175	NA	NA	   1
246,[1] s., 8 pl.-bl.	 247	NA	NA	   1
[8], 363, [2] s.	 373	NA	NA	   1
[02] , 54 s.	  56	NA	NA	   1
201s., 13 pl.-bl.	 201	NA	NA	   1
[30] , 202 s.	 232	NA	NA	   1
(6), 531 s.	 531	NA	NA	   1
314, [1] s.	 315	NA	NA	   1
(16) bl. + (1)4.	  32	NA	NA	   1
(6),157 s.	 157	NA	NA	   1
[02], 558 s. (s. 521-58 opag.).	   2	NA	NA	   1
(4),72,(1)s	  72	NA	NA	   1
xvi, 280 s.	 296	NA	NA	   1
329, [2] s.	 331	NA	NA	   1
40s.,1 tab.	  42	NA	NA	   1
1 d.	NA	NA	NA	   1
220,(1)s	 220	NA	NA	   1
58,(2) s.	  58	NA	NA	   1
136 s.;(136 s.)	 272	NA	NA	   1
194, (1) s.	 194	NA	NA	   1
S. 544-687	 144	NA	NA	   1
[4], 348 s.	 352	NA	NA	   1
[08], 292 s.	 300	NA	NA	   1
(47) 2-360 (10) s.; (1) I-XXXI; (1) II-VIII; (1) VIII-XLI bl. (m. fel i folieringen); (1) 2-165 bl. (fel i folieringen); (32) s.; (1) 2-38 bl. (fel i folieringen); (2) 42-48 (fel i folieringen).	  71	NA	NA	   1
[28] s., [1] ins.	  28	NA	NA	   1
46 s., 16 pl.	  78	NA	NA	   1
[04] , ii20 s. =(s. 1/2, 19/20 blanka).=	   4	NA	NA	   1
[4] s., [1] vikt pl.-bl.	   4	NA	NA	   1
79,(2) s.	  79	NA	NA	   1
3 p. l., 5-190 p.	 186	NA	NA	   1
2 vol.;(viij, 265; (4), 235 s.)	 508	NA	NA	   1
84 s., 1 pl.-bl.	  84	NA	NA	   1
240, [1] s.	 241	NA	NA	   1
(4),116s	 116	NA	NA	   1
(25) 2-808 (8) s.	NA	NA	NA	   1
383, 117 s.	 383	NA	NA	   1
306, [6] s.	 312	NA	NA	   1
47[1] s.	NA	NA	NA	   1
viii, 94 s.	 102	NA	NA	   1
103, [3] s.	 106	NA	NA	   1
vi, 130 s.	 136	NA	NA	   1
83 s., 36 pl.-bl.	  83	NA	NA	   1
2 vol.;396, [4] s.	 400	NA	NA	   1
31 s., 24 pl.-bl.	  31	NA	NA	   1
42 ,(2) s.	  42	NA	NA	   1
280 s., pl.-bl.	 282	NA	NA	   1
[4], 32 s.	  36	NA	NA	   1
s. 1- 88	  88	NA	NA	   1
[1], ix, 260 s.	 270	NA	NA	   1
(3), 196 s.	 196	NA	NA	   1
139, [1] s.	 140	NA	NA	   1
(5), 112 bl.	 229	NA	NA	   1
[04] s	   4	NA	NA	   1
1 vol. (178 s.)	 178	NA	NA	   1
S. 886-1142, 1143-1161	1161	NA	NA	   1
s. 58-101	  44	NA	NA	   1
[02] , 134 s.	 136	NA	NA	   1
271, [1] s., 8 pl.-bl.	 272	NA	NA	   1
1205 s.	1205	NA	NA	   1
242 s. , [1] pl.bl.	 246	NA	NA	   1
519 s.	 519	NA	NA	   1
630 s.	 630	NA	NA	   1
S. 3-192	 190	NA	NA	   1
[02] , 362 s.	 364	NA	NA	   1
32 s. =(s. 31/32 blank)=	NA	NA	NA	   1
[02] , 50 s.	  52	NA	NA	   1
18 s.; 1 pl.	  20	NA	NA	   1
776 s.	 776	NA	NA	   1
[2], 113, [1] s.	 116	NA	NA	   1
155 s., 4 pl.-bl.	 155	NA	NA	   1
[4] s., [1] bl.	   6	NA	NA	   1
187, [2] s.	 189	NA	NA	   1
29, [3] s.	  32	NA	NA	   1
[04], 76 s. & omsl.	  80	NA	NA	   1
(16) 1-267 (1) s.	NA	NA	NA	   1
51,(1) s.	  51	NA	NA	   1
28 s.; pl. iii-iv.	  32	NA	NA	   1
iv, 158 s.	 162	NA	NA	   1
[04] , 316 s.	 320	NA	NA	   1
[4], 85 +	  89	NA	NA	   1
84 s., bil. 8 s.	  84	NA	NA	   1
xv, 175 s.	 190	NA	NA	   1
328s	 328	NA	NA	   1
447 s.	 447	NA	NA	   1
63, [2] s.	  65	NA	NA	   1
219s	 219	NA	NA	   1
161 s	 161	NA	NA	   1
(5), 118 s.	 118	NA	NA	   1
vi, 208 s.	 214	NA	NA	   1
212, (1) s.	 212	NA	NA	   1
38 s., 18 pl.	  74	NA	NA	   1
98s	  98	NA	NA	   1
s. 97-98	   2	NA	NA	   1
iii, 222 s.	 225	NA	NA	   1
41, [1] s.	  42	NA	NA	   1
95 s., [2] pl.-bl.	  95	NA	NA	   1
40 s.; [1] rättelsebl.	  40	NA	NA	   1
161, [3] s.	 164	NA	NA	   1
(19)s	  19	NA	NA	   1
S. 145-196	  52	NA	NA	   1
[1], 48, [1] s.	  50	NA	NA	   1
[04] , 780 s.	 784	NA	NA	   1
77[1] s.	NA	NA	NA	   1
xxxi, 226, [2] s.	 259	NA	NA	   1
[08] , ii242 s.	   8	NA	NA	   1
[24] s. (s. 23/24 blank)	NA	NA	NA	   1
220s.,12 pl.-bl.	 220	NA	NA	   1
75, [4] s.	  79	NA	NA	   1
50,(1)s	  50	NA	NA	   1
116, [3] s.	 119	NA	NA	   1
24 s. =(s. 21-24 opag.)=.	NA	NA	NA	   1
(5),130s.,6 pl.-bl.	 130	NA	NA	   1
48 s. =(s. 47 opag. rättelser)=.	NA	NA	NA	   1
[4], 12 s.	  16	NA	NA	   1
95 s., 1 pl.	  97	NA	NA	   1
S. [35]-81	  47	NA	NA	   1
496, 78 s.	 496	NA	NA	   1
172s	 172	NA	NA	   1
387 s.	 387	NA	NA	   1
29,(1)s	  29	NA	NA	   1
ix,148,(1)s	 157	NA	NA	   1
143, [1] s., 10 pl.-bl.	 144	NA	NA	   1
10 s., [1] pl.-bl.	  10	NA	NA	   1
248s	 248	NA	NA	   1
[2], 34, [2] s.	  38	NA	NA	   1
64 s., 1 pl.	  66	NA	NA	   1
[4], xxviii, [4], 452 s.	 488	NA	NA	   1
12,(1),8,(1)s	  12	NA	NA	   1
S. 1-14	  14	NA	NA	   1
290 s., [15] pl.-bl.	 290	NA	NA	   1
[2], 61 s.	  63	NA	NA	   1
57, 34, 47, 18, 45 s.	  57	NA	NA	   1
xviii, 170 s. =(s. xv-xviii, 165-70 opag.).=	 335	NA	NA	   1
[02] , ii408, iii358 s. =(s. iii347-58 opag.)=.	   2	NA	NA	   1
5 vol	NA	NA	 5	   1
137 [1] s.	NA	NA	NA	   1
[02] , ii502, iii440 s. =(s. iii427-40 opag.)=.	   2	NA	NA	   1
viii, 150, [2] s.	 160	NA	NA	   1
22,(1)s.,35 pl.-bl.	  22	NA	NA	   1
[4], 282 s.	 286	NA	NA	   1
[02] , 92 s.; [1] pl.	  96	NA	NA	   1
151, (1) s.	 151	NA	NA	   1
13 [1] s.	NA	NA	NA	   1
[08] , 96 s.	 104	NA	NA	   1
xxxi, 264 s.	 295	NA	NA	   1
xvi, 480 s.	 496	NA	NA	   1
[02] , 80 s. =(s. 79-80 opag.)=; [1] pl.	   4	NA	NA	   1
139, [2] s.	 141	NA	NA	   1
vi, 54 s.	  60	NA	NA	   1
iv, 598 s.	 602	NA	NA	   1
[2], 15 s.	  17	NA	NA	   1
82 s., [1] pl.-bl.	  82	NA	NA	   1
[2], 7 [1] s.	   2	NA	NA	   1
[3], 2-125, [1] s.	 128	NA	NA	   1
(5), 178 s.	 178	NA	NA	   1
428 s., 32 pl.-bl.	 428	NA	NA	   1
91s.,4 pl.	  99	NA	NA	   1
iv, 106, [1] s., 8 pl.-bl.	 111	NA	NA	   1
47-52 s.	   6	NA	NA	   1
15s.,2 pl.	  19	NA	NA	   1
397 s. +	 397	NA	NA	   1
[24], ii1-923, iii[21] s.	 947	NA	NA	   1
iii, 60 bl.	 123	NA	NA	   1
2 vol.;(156, 166 s.)	 166	NA	NA	   1
675 s.	 675	NA	NA	   1
159, (1)s.	 159	NA	NA	   1
[104] s. (A4-M4)	 104	NA	NA	   1
55, [1], s.	  56	NA	NA	   1
S. 24-35	  12	NA	NA	   1
282, [1] s.	 283	NA	NA	   1
589 s.	 589	NA	NA	   1
(15) 2-396 (2); (8) 1-237 (1); (6) 1-109 (3) s.	NA	NA	NA	   1
2 vol.;(352, 354 s.)	 354	NA	NA	   1
[02] , 42 s. & omsl.	  44	NA	NA	   1
vi, [1], 292 s.	 299	NA	NA	   1
159 s., 10 pl.-bl.	 159	NA	NA	   1
[4], 169, [2] s.	 175	NA	NA	   1
28 s. & omsl. =(bakre omsl:s insida pag. '29')=.	  28	NA	NA	   1
viii, 166 s., 1 pl.	 176	NA	NA	   1
38,(2)s	  38	NA	NA	   1
S. 200-237	  38	NA	NA	   1
[16], 160 s.; [2] pl.-bl.	 176	NA	NA	   1
240s.,11 pl.	 262	NA	NA	   1
22 s. +	  22	NA	NA	   1
47 s. och 1 pl.	NA	NA	NA	   1
178, [2] s.	 180	NA	NA	   1
[6], 196 s.	 202	NA	NA	   1
127, (1) s.	 127	NA	NA	   1
88 s., 1 pl.-bl. (i färg)	  88	NA	NA	   1
[4], 259, [1] s.	 264	NA	NA	   1
(4)s.,s.7-146	 146	NA	NA	   1
764s.,64 pl.-bl.	 764	NA	NA	   1
(48); (6) s., fol. 2-350.	 398	NA	NA	   1
318s.;286s;(2 vol.)	 604	NA	NA	   1
253,(2)s	 253	NA	NA	   1
[8], 130 s.	 138	NA	NA	   1
12 s. & omslag	  12	NA	NA	   1
396s	 396	NA	NA	   1
(1) s., s.149-245, vii pl.-bl.	 245	NA	NA	   1
17 bl.	  34	NA	NA	   1
[10] , 150 s.	 160	NA	NA	   1
258 s., 1 kartbl.	 260	NA	NA	   1
40 s. & omsl. =(s. 39/40 blank).=	  40	NA	NA	   1
50 pl.,53 textblad	NA	NA	NA	   1
366 s., [1] pl.-bl.	 366	NA	NA	   1
=Serietitelbl.:= [02] s.; [06] s. =(prenumerantförteckn.)=. & omsl. [02] , 512 s. =(s. 511-12 opag. rättelser och kolofon)=.	   2	NA	NA	   1
[02] , 78 s.; [1] pl.	  82	NA	NA	   1
194 s., 3 portr.-bl.	 194	NA	NA	   1
196,(1)s	 196	NA	NA	   1
[20] , ii468 s. =(s. 1/2 blank)=.	  20	NA	NA	   1
15, [01] s.	  16	NA	NA	   1
s. 3-183	 181	NA	NA	   1
37s.,20 pl.-bl.	  37	NA	NA	   1
16 pl.-bl.	NA	NA	NA	   1
293,[1] s.	 294	NA	NA	   1
287s	 287	NA	NA	   1
[16], ii184, [iii20] s. =(s. iii19 opag. rättelser).=	  16	NA	NA	   1
[16] , 48 s.	  64	NA	NA	   1
[02] , 60 s.	  62	NA	NA	   1
151s.,4 pl.-bl.	 151	NA	NA	   1
45,(3)s	  45	NA	NA	   1
91 hfn	NA	NA	NA	   1
[4] s., s. 23-342, [26] s.	 350	NA	NA	   1
75 s., 5 pl.-bl.	  75	NA	NA	   1
[4], 349, [3] s.	 356	NA	NA	   1
196s	 196	NA	NA	   1
vii, 195 s.	 202	NA	NA	   1
122, (2) s.	 122	NA	NA	   1
196 s., [169 pl.-bl.	 196	NA	NA	   1
155, (2) s.	 155	NA	NA	   1
1008 s., 8 pl.-bl., 1 kartbl.	1010	NA	NA	   1
125, 154 s.	 154	NA	NA	   1
[02] , 142 s.	 144	NA	NA	   1
454, [1] s., 8 pl.-bl.	 455	NA	NA	   1
2 vol.;(138, [1] ; 128 s.)	 267	NA	NA	   1
13, (1) s., 30 pl.-bl.	  13	NA	NA	   1
S.337-368, 2 pl. (dubbelvikta)	  32	NA	NA	   1
S. 838-900	  63	NA	NA	   1
xx, 872 s.	 892	NA	NA	   1
76 s.;(76, [1] s.)	 153	NA	NA	   1
(12) 1-219 (1) s.	NA	NA	NA	   1
(8), 184 s.	 184	NA	NA	   1
[7], 120 s.	 127	NA	NA	   1
[16] , 168 s.	 184	NA	NA	   1
103,(1)s	 103	NA	NA	   1
