original	polished	Count
Örebro Dagbl.	Örebro Dagblad	  22
Generalstabens litografiska anst.	Generalstabens litografiska anstalt	  22
Kultis-förl.	Kultis-	  21
Hæggströms förlagsexp.	Z. Häggströmsexp	  21
P. A. Huldbergs bokförlagsaktieb.	P.A. Huldbergs boksaktieb	  21
Nordin & Josephson i distr.	Nordin & Josephson i distr	  21
P. B. Eklund	P.B. Eklund	  21
Seelig & C:o.	Seelig & Co	  21
Sandbergs bokh. i distr.	Sandbergs bokhandel i distr	  21
förb.	förb	  21
Ny Nord.	Ny Nord	  21
Landskrona tr.-a.-b.	Landskrona tr.-a.-b	  21
Skånetr.	Skånetr	  21
Brusewitz	Brusevitz	  21
Gruppverksamheten, Koop. förb.	Gruppverksamheten, Koop. förb	  21
Norrköpings tidn.	Norrköpings Tidn	  21
Lindhska boktr.	Lindhska boktr	  21
Bronellska bokh.	Bronellska bokhandel	  21
Nils Georgs musikförl.	Nils Georgs musik	  20
Schlagerförl.	Schlager-	  20
P. A. Huldbergs Bokf.-aktb.	P.A. Huldbergs Bokf.-aktb	  20
P. Palmquists aktieb.	P. Palmqvists aktieb	  20
Palmquists aktieb.	Palmqvists aktieb	  20
Westlings musikförl.	Westlings musik	  20
Aktieb. Hiertas bokförlag	Aktieb. Hiertas bok	  20
Marcus'	Marcus	  20
Wilhelmssons	Wilhelmsson	  20
Sv. allm. landtbrukssällskap	Svenska allm. landtbrukssällskap	  20
Gen.-stab. lit. anst. i distr.	Gen.-stab. lit. anst. i distr	  20
[Fritzes hovbokh.] [distributör]	Fritzes hovbokhandel	  20
Bergh	Berg	  20
Klippans Nya accidenstr.	Klippans Nya accidenstr	  20
[Svenska vattenkraftfören.]	Svenska vattenkraftfören	  20
Sv. läraretidn.	Svensk läraretidning	  20
Avd.	Avd	  20
Göteborgs litogr. a.-b.	Göteborgs litogr. a.-b	  20
Gen.-stab. lit. anst.	Gen.-stab. lit. anst	  20
Pehrssons förl.	Pehrsson	  20
P. Palmquists aktb.	P. Palmqvists aktieb	  19
Bokförlagsbyrån	Boksbyrån	  19
Ewerlöf	Everlöf	  19
Nordiska förlaget	Nordiska	  19
Sv. teknologfören:s förlag	Svenska teknologföreningen	  19
G. Tisells tekn. förl.	G. Tisells tekn	  19
Nya Wermlands-tidningen	Nya Wermlands-tidn	  19
Elanders	Elander	  19
Sv. förl.	Svenska	  19
[Fritzes bokförl.]	Fritzes bokf	  19
Skånetryckeriets förl.	Skånetryckeriet	  19
Frihets förl.	Frihet	  19
Partiförl.	Parti	  19
Egnellska boktr.	Egnellska boktr	  19
Falu nya boktr.	Falu nya boktr	  19
Nordiska bokh. [distributör]	Nordiska bokhandel	  19
[Wettergren & Kerber]	Wettergren & Coerber	  19
Fritzes bokf. i distr.	Fritzes bokf. i distr	  19
Folkskolans barntidn.	Folkskolans barntidning	  19
Örebro nya tr.-a.-b.	Örebro nya tr.-a.-b	  19
Swedish M.E. Book Concern	Svedish M.E. Book Concern	  19
Sv. vitterhetssamf.	Svenska vitterhetssamf	  19
Akad. bokh. i distr.	Akademiska bokhandel i distr	  18
Svenska förl.	Svenska	  18
Kometförl.	Komet	  18
[Fritzes hovbokh.]	Fritzes hovbokhandel	  18
Almqvist & Wicksell	Almqvist & Wiksell	  18
Folkets förl.	Folket	  18
Petrus de Dacia-fören.	Petrus de Dacia-fören	  18
Sv. tr.-ab.	Svenska tr.-a.-b	  18
Östergötlands Dagblad	Östergötlands Dagbl	  18
N. J. Gumperts bokh.	N.J. Gumperts bokhandel	  18
Wretmans boktr.	Wretmans boktr	  18
Skriv- & ritboks-a.-b.	Skriv- & ritboks-a.-b	  18
Nya Wermlands-tidn.	Nya Wermlands-tidn	  18
Skånska Dagbl.	Skånska Dagbl	  18
Falu nya boktr.-a.-b.	Falu nya boktr.-a.-b	  18
P. A. Norstedt & söner	P.A. Norstedt & Söner	  17
P. G. Berg	P.G. Berg	  17
Svenska nykterhetsförlaget	Svenska nykterhets	  17
Förl.-a.-b:s i Malmö boktr.	-a.-b:s i Malmö boktr	  17
Västergötlands boktr.-a.-b.	Västergötlands boktr.-a.-b	  17
anst.	anst	  17
Akad.	Akad	  17
Sveriges kristl. studentrörelse	Sveriges kristliga studentrörelse	  17
Cirkelförl.	Cirkel	  17
Riksluftskyddsförb.	Riksluftskyddsförb	  17
Nord. musikförl.	Nordiska musik	  17
Halls	Hall	  17
[Jernkontoret]	Jernkontoret	  17
Nya bokförl. ab.	Nya bok-ab	  17
Nya Wermlands-Tidn.	Nya Wermlands-tidn	  17
[Norblads bokh.]	Norblads bokhandel	  17
Ansgariusförl.	Ansgarius	  17
Lundgrenska boktr.	Lundgrenska boktr	  17
Fröléen & C:o.	Fröleen & Co	  17
Nord. boktr.	Nordiska bok	  17
[Anst.]	Anst	  17
Seelig & C:o	Seelig & Co	  17
Vasatr.	Vasatr	  17
Bibliska förl.	Bibliska	  17
Seelig i distr.	Seelig i distr	  17
Eslövs nya boktr.	Eslövs nya boktr	  17
Nord. museet	Nordiska museet	  17
Samf.	Samf	  17
Hugo Gebers förlag	Hugo Geber	  17
KF:s bokförlag	KF:s bok	  16
A. L. Normans förlagsexp.	A.L. Normansexp	  16
Normans förlagsexp	Normansexp	  16
J. W. Svensson	J.W. Svensson	  16
Löfving	Löving	  16
Litogr. a.-b.	Litogr. a.-b	  16
Förlagsfören. A. S.	sförening A. S	  16
Joh. Lundén	Joh. Lunden	  16
fören.; Fritzes hovbokh.	fören	  16
Almqvist & Wiksell :;Natura :;H. K. Lewis :;C. Klincksieck	Almqvist & Wiksell	  16
Anst.	Anst	  16
Lundequistska bokh. :;O. Harrassowitz	Lundeqvistska bokhandel	  16
Riksförb. för Sveriges försvar	Riks för Sveriges försvar	  16
[Fören. (V. Trädgårdsg. 10)]	förening V. Trädgårdsg. 10	  16
Ica-förl.	Ica-	  16
Västmanlands folkbl.	Västmanlands folkbl	  16
A. Lundquist	Abr. Lundqvist	  16
P. M. Sahlströms bokh.	P.M. Sahlströms bokhandel	  16
[Åhlén & Åkerlund]	Åhlen & Åkerlund	  16
Fredens förl.	Freden	  16
Ågrens boktr.	Ågrens boktr	  16
Klippans nya accidenstr.	Klippans nya accidenstr	  16
Förlags-a.-b.	s-a.-b	  16
Strokirks bokh.	Strokirks bokhandel	  16
Appeltoffts bokh.	Appeltoffts bokhandel	  16
[Sällsk]	Sällsk	  16
Almquist & Wiksell	Almqvist & Wiksell	  16
Kulturförl.	Kultur	  16
The Engberg-Holmberg Publ. Co.	The Engberg-Holmberg Publ. Co	  16
[Gleerup]	Gleerup	  16
Ehrlingförl.	Ehrling	  15
K. Grönstedts musikförl.	K. Grönstedts musik	  15
A. Bonnier	Ad. Bonnier	  15
McGraw-Hill	McGrav-Hill	  15
Schéel & Sjögrens	Scheel & Sjögrens	  15
D. F. Bonnier	D.F. Bonnier	  15
Ebeling & K.	Ebeling & Co	  15
J. J. Flodin	J.J. Flodin	  15
Wretmans	Wretman	  15
Nord. bokförl.	Nordiska bok	  15
